sgRNA	Gene	HL60initial	HL60final	KBM7initial	KBM7final
RFXANK_m19304911	RFXANK	471	1969	648	2185
RFXANK_m19304917	RFXANK	671	831	414	917
RFXANK_p19304833	RFXANK	1119	1368	583	2904
RFXAP_m37393571	RFXAP	683	1502	470	1821
RFXAP_m37393588	RFXAP	97	922	155	902
RFXAP_m37393612	RFXAP	127	536	151	639
RFXAP_m37393618	RFXAP	258	124	56	255
RFXAP_m37393630	RFXAP	1342	3085	989	3670
RFXAP_p37393484	RFXAP	763	1129	523	1709
RFXAP_p37393493	RFXAP	881	2015	603	2758
RFXAP_p37393502	RFXAP	688	1625	467	1265
RFXAP_p37393580	RFXAP	159	473	160	605
RFXAP_p37393632	RFXAP	30	445	133	411
RGCC_m42031880	RGCC	421	1256	247	1917
RGCC_m42032429	RGCC	119	343	90	431
RGCC_m42032444	RGCC	1052	1773	402	2561
RGCC_m42032454	RGCC	633	1692	376	1802
RGCC_m42032492	RGCC	576	1786	787	2809
RGCC_p42031836	RGCC	262	1083	204	471
RGCC_p42031842	RGCC	113	809	99	553
RGCC_p42032436	RGCC	199	909	377	435
RGCC_p42032460	RGCC	626	2109	480	1459
RGCC_p42032466	RGCC	801	910	495	2680
RGN_m46940544	RGN	487	1338	528	1620
RGN_m46940587	RGN	886	2211	795	2507
RGN_m46940603	RGN	97	1001	511	1407
RGN_m46940622	RGN	336	1229	601	1426
RGN_m46940665	RGN	228	1069	196	753
RGN_m46940682	RGN	389	1902	421	1091
RGN_m46943823	RGN	689	1004	658	1433
RGN_p46940570	RGN	491	1103	562	800
RGN_p46940590	RGN	548	1300	432	1349
RGN_p46940684	RGN	589	1877	548	1424
RGS10_m121275118	RGS10	768	1516	372	2086
RGS10_m121286836	RGS10	419	972	219	676
RGS10_m121286849	RGS10	411	805	495	1091
RGS10_m121286920	RGS10	1292	2268	1046	2266
RGS10_p121275101	RGS10	508	1042	365	1502
RGS10_p121275110	RGS10	522	1289	402	1004
RGS10_p121286841	RGS10	847	1661	490	1259
RGS10_p121286856	RGS10	679	1452	635	2670
RGS10_p121286889	RGS10	369	1665	325	1563
RGS10_p121286909	RGS10	469	1059	364	1718
RGS12_m3415813	RGS12	450	840	260	974
RGS12_m3415844	RGS12	358	1166	228	746
RGS12_m3415866	RGS12	461	2569	243	2483
RGS12_m3415889	RGS12	183	764	481	438
RGS12_m3415909	RGS12	1018	2084	791	3748
RGS12_p3388139	RGS12	590	1766	660	2470
RGS12_p3415784	RGS12	260	417	346	1749
RGS12_p3415799	RGS12	960	973	463	2067
RGS12_p3415876	RGS12	403	1303	513	2543
RGS12_p3415891	RGS12	850	2444	727	3166
RGS13_m192613523	RGS13	200	392	183	503
RGS13_m192617058	RGS13	653	1350	453	989
RGS13_m192627338	RGS13	1226	2200	693	2292
RGS13_m192627426	RGS13	585	793	250	891
RGS13_m192627490	RGS13	663	1153	603	1407
RGS13_p192613462	RGS13	1108	3168	847	3538
RGS13_p192613495	RGS13	133	331	183	330
RGS13_p192617060	RGS13	207	919	269	505
RGS13_p192627372	RGS13	502	1339	425	1126
RGS13_p192628483	RGS13	376	1068	439	1277
RGS14_m176785058	RGS14	329	2116	494	2581
RGS14_m176793220	RGS14	237	1752	165	1440
RGS14_m176793269	RGS14	290	1145	370	1133
RGS14_m176793279	RGS14	207	1369	567	1080
RGS14_m176793297	RGS14	124	784	299	617
RGS14_p176785010	RGS14	175	176	67	277
RGS14_p176785027	RGS14	624	2116	387	1024
RGS14_p176792960	RGS14	791	1149	401	1541
RGS14_p176793172	RGS14	1106	2696	1120	2430
RGS14_p176793271	RGS14	1149	2558	798	1815
RGS17_m153345476	RGS17	159	82	65	0
RGS17_m153345600	RGS17	976	1781	739	3275
RGS17_m153347653	RGS17	145	642	67	679
RGS17_m153347668	RGS17	789	2093	804	1953
RGS17_m153365036	RGS17	282	862	300	1241
RGS17_p153345512	RGS17	881	800	287	1330
RGS17_p153347577	RGS17	332	698	308	1124
RGS17_p153347583	RGS17	328	1250	394	1130
RGS17_p153347655	RGS17	231	536	71	139
RGS17_p153365090	RGS17	466	1350	689	1451
RGS20_m54852180	RGS20	31	350	144	183
RGS20_m54852187	RGS20	317	631	355	770
RGS20_p54852120	RGS20	390	837	301	1124
RGS20_p54852130	RGS20	367	681	149	374
RGS20_p54852142	RGS20	794	1978	840	1721
RGS20_p54852148	RGS20	679	1217	439	1188
RGS20_p54852238	RGS20	402	3569	572	2692
RGS20_p54852262	RGS20	322	1120	675	642
RGS20_p54859221	RGS20	2	556	218	115
RGS20_p54859232	RGS20	1	456	45	62
RGS2_m192778272	RGS2	335	1313	248	513
RGS2_m192779315	RGS2	648	1426	601	2172
RGS2_m192779342	RGS2	298	557	116	266
RGS2_m192779503	RGS2	563	1650	394	1288
RGS2_p192778200	RGS2	454	1291	394	2234
RGS2_p192778227	RGS2	570	1025	591	1358
RGS2_p192778240	RGS2	903	1796	526	1461
RGS2_p192778246	RGS2	885	2029	1187	2758
RGS2_p192778260	RGS2	734	1170	410	1066
RGS2_p192779490	RGS2	323	2368	352	1590
RGS3_m116356772	RGS3	336	2521	800	2086
RGS3_m116357202	RGS3	191	876	372	702
RGS3_m116357236	RGS3	473	805	494	1240
RGS3_m116357897	RGS3	1780	3152	1319	4569
RGS3_m116357902	RGS3	121	863	234	605
RGS3_p116357204	RGS3	684	1485	570	1220
RGS3_p116357228	RGS3	327	174	101	2
RGS3_p116357912	RGS3	875	2683	542	1649
RGS3_p116357924	RGS3	536	1521	827	1618
RGS3_p116357933	RGS3	397	1059	386	1349
RGS7BP_m63890601	RGS7BP	278	972	266	716
RGS7BP_m63890606	RGS7BP	625	1266	258	1487
RGS7BP_m63890628	RGS7BP	429	2037	699	1800
RGS7BP_m63890650	RGS7BP	332	1047	507	2045
RGS7BP_m63890662	RGS7BP	492	753	245	1691
RGS7BP_m63905000	RGS7BP	363	1150	289	1131
RGS7BP_m63905023	RGS7BP	326	1277	340	1461
RGS7BP_p63890526	RGS7BP	437	675	196	685
RGS7BP_p63890633	RGS7BP	1541	4623	1464	4724
RGS7BP_p63905031	RGS7BP	868	2898	955	3209
RGS7_m241099990	RGS7	868	1404	492	1798
RGS7_m241146380	RGS7	144	345	168	458
RGS7_m241146412	RGS7	248	1118	236	1909
RGS7_m241261967	RGS7	83	482	97	994
RGS7_m241262007	RGS7	747	1571	564	1167
RGS7_m241262044	RGS7	1045	1633	891	1633
RGS7_m241519000	RGS7	347	659	259	1030
RGS7_m241519012	RGS7	495	932	465	1420
RGS7_m241519040	RGS7	514	1906	526	2341
RGS7_p241261958	RGS7	789	2260	530	2191
RGS9_m63133669	RGS9	1068	2178	876	2114
RGS9_m63133675	RGS9	733	1205	556	2572
RGS9_m63149598	RGS9	357	967	531	1405
RGS9_m63149607	RGS9	1357	2057	543	2255
RGS9_p63133655	RGS9	704	1799	927	2765
RGS9_p63133678	RGS9	887	870	593	1816
RGS9_p63149535	RGS9	149	718	274	1216
RGS9_p63149557	RGS9	632	1830	632	1630
RGS9_p63149579	RGS9	441	1151	374	1595
RGS9_p63149586	RGS9	567	1811	718	2012
RHNO1_m2994555	RHNO1	243	523	251	189
RHNO1_m2994576	RHNO1	474	1376	375	1484
RHNO1_m2994588	RHNO1	307	984	264	643
RHNO1_m2994610	RHNO1	777	2524	481	1729
RHNO1_m2997117	RHNO1	67	351	20	337
RHNO1_m2997141	RHNO1	85	545	121	492
RHNO1_m2997166	RHNO1	825	751	499	1037
RHNO1_m2997173	RHNO1	327	1159	452	815
RHNO1_p2994579	RHNO1	229	157	150	149
RHNO1_p2994636	RHNO1	279	802	375	533
RHOA_m49412895	RHOA	432	1146	300	245
RHOA_m49412975	RHOA	514	668	602	131
RHOA_m49412984	RHOA	1088	2685	898	279
RHOA_m49412990	RHOA	953	1302	684	1055
RHOA_m49413000	RHOA	801	1369	374	1799
RHOA_m49413010	RHOA	523	1070	278	2039
RHOA_p49412909	RHOA	505	1489	626	754
RHOA_p49412916	RHOA	142	748	300	411
RHOA_p49412956	RHOA	667	458	429	81
RHOA_p49412992	RHOA	53	748	174	127
RHOB_m20647236	RHOB	263	975	488	1530
RHOB_m20647319	RHOB	1061	2199	639	1813
RHOB_m20647334	RHOB	712	1866	667	1492
RHOB_p20647228	RHOB	409	990	287	1073
RHOB_p20647238	RHOB	438	1246	549	2519
RHOB_p20647244	RHOB	746	1451	481	1532
RHOB_p20647253	RHOB	1317	2329	977	2638
RHOB_p20647285	RHOB	921	1754	702	2999
RHOB_p20647345	RHOB	546	1485	686	1824
RHOB_p20647352	RHOB	2022	6763	1558	6659
RHOC_m113246282	RHOC	588	1455	437	879
RHOC_m113246291	RHOC	413	789	446	1090
RHOC_m113246327	RHOC	334	938	360	716
RHOC_m113246388	RHOC	1844	4986	1816	5806
RHOC_m113246399	RHOC	383	1153	406	917
RHOC_p113246293	RHOC	343	867	454	1456
RHOC_p113246308	RHOC	569	2120	428	1415
RHOC_p113246336	RHOC	478	761	482	916
RHOC_p113246343	RHOC	716	1241	577	1289
RHOC_p113246355	RHOC	310	292	322	169
RHOU_m228871522	RHOU	638	1369	521	1160
RHOU_m228871527	RHOU	1	207	5	186
RHOU_m228871683	RHOU	437	575	232	866
RHOU_m228871714	RHOU	215	1169	555	1000
RHOU_m228871728	RHOU	1114	763	328	1141
RHOU_m228871736	RHOU	447	1451	259	1099
RHOU_p228871552	RHOU	84	3720	372	566
RHOU_p228871629	RHOU	440	1157	332	1157
RHOU_p228871644	RHOU	143	1378	586	1666
RHOU_p228871662	RHOU	19	1671	43	1863
RHOXF1_m119249638	RHOXF1	551	1213	268	1569
RHOXF1_m119249647	RHOXF1	520	872	155	480
RHOXF1_m119249656	RHOXF1	606	1462	269	1419
RHOXF1_m119249662	RHOXF1	249	393	198	485
RHOXF1_m119249720	RHOXF1	668	2199	555	2626
RHOXF1_p119249621	RHOXF1	561	550	287	692
RHOXF1_p119249626	RHOXF1	783	864	674	1650
RHOXF1_p119249724	RHOXF1	1514	2321	1118	3743
RHOXF1_p119249732	RHOXF1	272	570	219	871
RHOXF1_p119249751	RHOXF1	1006	1632	844	2547
RIF1_m152266962	RIF1	346	1030	241	796
RIF1_m152266970	RIF1	575	408	234	292
RIF1_m152266993	RIF1	789	2511	597	2171
RIF1_m152267001	RIF1	1066	1293	547	305
RIF1_m152267029	RIF1	295	957	357	1303
RIF1_p152266926	RIF1	251	766	543	645
RIF1_p152266985	RIF1	432	682	381	132
RIF1_p152267019	RIF1	307	665	425	283
RIF1_p152267771	RIF1	515	977	322	799
RIF1_p152271369	RIF1	290	289	236	361
RILPL1_m124017911	RILPL1	92	578	80	346
RILPL1_m124017928	RILPL1	130	1026	240	1101
RILPL1_m124017956	RILPL1	784	1132	490	1221
RILPL1_m124017974	RILPL1	251	345	189	254
RILPL1_m124017992	RILPL1	538	1083	285	1395
RILPL1_m124018016	RILPL1	557	751	599	342
RILPL1_m124018022	RILPL1	622	875	476	523
RILPL1_p124017902	RILPL1	630	986	424	2060
RILPL1_p124017939	RILPL1	1359	2038	840	1844
RILPL1_p124017948	RILPL1	680	2742	412	2468
RING1_m33176600	RING1	124	340	101	112
RING1_m33176611	RING1	748	1613	358	1159
RING1_m33177409	RING1	409	1614	377	1690
RING1_m33177440	RING1	914	2341	1284	1500
RING1_m33177470	RING1	870	1831	666	1941
RING1_m33177479	RING1	283	1159	481	755
RING1_p33176589	RING1	251	980	265	687
RING1_p33176645	RING1	1517	2264	1239	1715
RING1_p33177392	RING1	886	1390	435	2299
RING1_p33177458	RING1	751	1704	440	1750
RINT1_m105172771	RINT1	328	850	412	1005
RINT1_m105177081	RINT1	530	1606	505	1097
RINT1_p105172753	RINT1	287	1070	504	1831
RINT1_p105172762	RINT1	901	2523	659	2613
RINT1_p105173264	RINT1	550	759	577	1047
RINT1_p105173274	RINT1	566	1471	393	489
RINT1_p105173287	RINT1	1096	2002	798	1410
RINT1_p105177016	RINT1	598	771	363	634
RINT1_p105177037	RINT1	1202	1227	705	1670
RINT1_p105177049	RINT1	439	1306	434	1233
RIOK1_m7404195	RIOK1	543	844	200	734
RIOK1_m7404201	RIOK1	203	1506	287	1246
RIOK1_m7404207	RIOK1	565	965	363	1746
RIOK1_m7404691	RIOK1	280	412	264	1132
RIOK1_m7404710	RIOK1	536	884	397	489
RIOK1_p7403108	RIOK1	1290	1677	680	1457
RIOK1_p7404225	RIOK1	742	1603	630	2411
RIOK1_p7404671	RIOK1	600	986	647	385
RIOK1_p7404676	RIOK1	693	1180	907	639
RIOK1_p7404722	RIOK1	896	2126	1096	1962
RIOK2_m96514823	RIOK2	822	467	1061	623
RIOK2_m96514862	RIOK2	1502	2487	1162	2726
RIOK2_m96514889	RIOK2	187	1924	514	1851
RIOK2_m96518831	RIOK2	345	14	491	134
RIOK2_m96518843	RIOK2	938	783	977	504
RIOK2_p96514812	RIOK2	612	1503	734	3420
RIOK2_p96514840	RIOK2	588	744	470	1136
RIOK2_p96514854	RIOK2	40	242	176	734
RIOK2_p96518834	RIOK2	1242	2145	1198	2942
RIOK2_p96518853	RIOK2	808	1801	626	1600
RIOK3_m21033460	RIOK3	586	492	334	1032
RIOK3_m21042997	RIOK3	299	1346	666	1654
RIOK3_p21033390	RIOK3	652	1590	458	1525
RIOK3_p21033399	RIOK3	441	1409	248	1377
RIOK3_p21033415	RIOK3	1341	2512	888	3749
RIOK3_p21033420	RIOK3	811	1183	728	1560
RIOK3_p21033426	RIOK3	750	831	458	1214
RIOK3_p21042947	RIOK3	112	373	164	738
RIOK3_p21042971	RIOK3	778	1759	764	1924
RIOK3_p21043934	RIOK3	776	2079	616	2226
RIPK1_m3077066	RIPK1	807	2929	552	2081
RIPK1_m3077076	RIPK1	266	1247	453	2023
RIPK1_m3077100	RIPK1	931	2579	580	3178
RIPK1_m3077164	RIPK1	257	851	298	289
RIPK1_p3077089	RIPK1	233	1384	254	1840
RIPK1_p3077104	RIPK1	136	689	228	1060
RIPK1_p3077114	RIPK1	994	1470	991	2170
RIPK1_p3077120	RIPK1	1041	2775	682	3246
RIPK1_p3077125	RIPK1	726	969	856	426
RIPK1_p3077152	RIPK1	567	1305	331	1145
RIPK2_m90770304	RIPK2	1010	2135	556	1574
RIPK2_m90770316	RIPK2	660	4044	1304	2202
RIPK2_m90770321	RIPK2	710	1605	489	1129
RIPK2_m90770330	RIPK2	515	2171	487	972
RIPK2_m90770335	RIPK2	1698	2820	1145	3435
RIPK2_m90770346	RIPK2	486	684	438	661
RIPK2_m90770365	RIPK2	1083	1798	707	2319
RIPK2_m90770373	RIPK2	1138	3472	1495	2644
RIPK2_p90770273	RIPK2	657	1651	435	1669
RIPK2_p90770354	RIPK2	184	910	354	1091
RIPK3_m24808513	RIPK3	631	2088	605	1221
RIPK3_m24808703	RIPK3	964	2188	425	1815
RIPK3_m24808714	RIPK3	564	1140	407	1327
RIPK3_m24808728	RIPK3	602	1373	621	1233
RIPK3_m24808733	RIPK3	845	2173	1109	1612
RIPK3_m24808743	RIPK3	469	1157	440	1318
RIPK3_m24808753	RIPK3	1077	3113	670	4504
RIPK3_m24808762	RIPK3	584	2025	525	1548
RIPK3_m24809014	RIPK3	915	2236	939	4800
RIPK3_p24808693	RIPK3	250	1243	274	1746
RIPK4_m43187103	RIPK4	339	2187	346	1996
RIPK4_m43187109	RIPK4	475	1425	355	2477
RIPK4_m43187118	RIPK4	1693	4497	1372	4408
RIPK4_m43187128	RIPK4	704	1816	479	1420
RIPK4_m43187133	RIPK4	999	1925	945	4529
RIPK4_m43187145	RIPK4	757	2090	762	1731
RIPK4_m43187186	RIPK4	681	1619	719	1808
RIPK4_m43187196	RIPK4	629	1668	624	1905
RIPK4_p43187149	RIPK4	64	668	257	1225
RIPK4_p43187157	RIPK4	760	1542	432	1712
RIPPLY2_m84563435	RIPPLY2	0	66	26	162
RIPPLY2_p84563125	RIPPLY2	1263	1923	682	2965
RIPPLY2_p84563137	RIPPLY2	289	444	509	531
RIPPLY2_p84563150	RIPPLY2	373	1341	413	1870
RIPPLY2_p84563158	RIPPLY2	611	491	447	595
RIPPLY2_p84563167	RIPPLY2	869	997	469	1805
RIPPLY2_p84563187	RIPPLY2	644	1420	282	1118
RIPPLY2_p84563406	RIPPLY2	334	1095	589	1459
RIPPLY2_p84563415	RIPPLY2	219	624	267	716
RIPPLY2_p84563426	RIPPLY2	389	1213	240	1280
RIT2_m40554089	RIT2	327	680	368	964
RIT2_m40554094	RIT2	195	248	104	283
RIT2_m40613777	RIT2	514	1176	580	2062
RIT2_m40695400	RIT2	551	698	243	1157
RIT2_m40695407	RIT2	720	859	545	2189
RIT2_m40695417	RIT2	47	369	22	228
RIT2_p40554073	RIT2	461	1052	385	1320
RIT2_p40613762	RIT2	129	710	238	1038
RIT2_p40695409	RIT2	410	626	302	481
RIT2_p40695431	RIT2	502	1871	581	2386
RLF_m40627144	RLF	234	464	155	1029
RLF_m40627188	RLF	328	439	121	419
RLF_p40627059	RLF	460	589	484	825
RLF_p40627064	RLF	395	719	430	654
RLF_p40627086	RLF	26	576	156	444
RLF_p40627115	RLF	800	1009	488	976
RLF_p40627122	RLF	172	9	33	330
RLF_p40627128	RLF	308	378	166	368
RLF_p40627148	RLF	485	2512	722	1014
RLF_p40627153	RLF	1119	2033	787	2029
RLIM_m73812521	RLIM	435	985	215	567
RLIM_m73812548	RLIM	180	1383	377	907
RLIM_m73812709	RLIM	68	288	119	545
RLIM_m73812771	RLIM	435	1301	332	955
RLIM_m73814175	RLIM	213	983	224	1172
RLIM_m73814212	RLIM	438	839	347	361
RLIM_m73815786	RLIM	627	1838	369	1310
RLIM_p73812513	RLIM	563	1024	449	587
RLIM_p73812739	RLIM	257	1152	183	1028
RLIM_p73815773	RLIM	497	972	451	1358
RMDN3_m41046910	RMDN3	478	856	194	1199
RMDN3_m41046916	RMDN3	407	331	355	1221
RMDN3_m41046940	RMDN3	0	129	35	64
RMDN3_m41046945	RMDN3	443	1012	235	1782
RMDN3_p41046875	RMDN3	522	1183	367	1105
RMDN3_p41046881	RMDN3	687	1854	748	1197
RMDN3_p41046890	RMDN3	1466	2428	948	2556
RMDN3_p41046897	RMDN3	448	798	236	202
RMDN3_p41046924	RMDN3	514	536	243	1051
RMDN3_p41046929	RMDN3	1192	2542	1068	2488
RMI1_m86615970	RMI1	291	213	375	28
RMI1_m86616040	RMI1	136	597	67	1294
RMI1_m86616074	RMI1	966	1856	1345	2044
RMI1_p86615917	RMI1	872	2516	1129	3249
RMI1_p86615956	RMI1	507	408	221	32
RMI1_p86615977	RMI1	170	430	177	848
RMI1_p86616014	RMI1	492	870	491	1543
RMI1_p86616046	RMI1	58	193	179	1
RMI1_p86616064	RMI1	948	2269	614	1337
RMI1_p86616155	RMI1	471	197	86	388
RMI2_m11439394	RMI2	940	2099	787	1266
RMI2_m11439441	RMI2	75	324	247	975
RMI2_p11439315	RMI2	348	724	407	312
RMI2_p11439321	RMI2	774	2143	570	1349
RMI2_p11439334	RMI2	310	1220	529	870
RMI2_p11439378	RMI2	8	527	11	743
RMI2_p11439384	RMI2	145	305	82	309
RMI2_p11439398	RMI2	1433	2452	1090	1504
RMI2_p11439408	RMI2	251	503	478	919
RMI2_p11439444	RMI2	136	304	156	205
RNASEH2A_m12917525	RNASEH2A	969	1171	608	1400
RNASEH2A_m12917544	RNASEH2A	275	904	235	522
RNASEH2A_m12917550	RNASEH2A	303	189	414	76
RNASEH2A_m12917561	RNASEH2A	1044	525	837	45
RNASEH2A_m12917571	RNASEH2A	614	648	607	658
RNASEH2A_p12917483	RNASEH2A	176	1028	266	597
RNASEH2A_p12917499	RNASEH2A	298	1130	394	789
RNASEH2A_p12917531	RNASEH2A	166	364	105	302
RNASEH2A_p12917573	RNASEH2A	362	149	240	0
RNASEH2A_p12917578	RNASEH2A	942	1215	798	763
RNASEH2B_m51484268	RNASEH2B	540	412	726	273
RNASEH2B_m51501607	RNASEH2B	1020	1120	1000	352
RNASEH2B_m51503622	RNASEH2B	268	594	113	925
RNASEH2B_m51503686	RNASEH2B	2	50	2	1
RNASEH2B_m51504839	RNASEH2B	588	852	332	339
RNASEH2B_m51504844	RNASEH2B	863	875	704	391
RNASEH2B_p51484212	RNASEH2B	824	2707	712	2220
RNASEH2B_p51484247	RNASEH2B	952	667	247	1590
RNASEH2B_p51484254	RNASEH2B	399	2195	694	2246
RNASEH2B_p51503696	RNASEH2B	377	730	246	828
RNASEH2C_m65488117	RNASEH2C	247	336	593	35
RNASEH2C_m65488126	RNASEH2C	864	1159	721	739
RNASEH2C_m65488199	RNASEH2C	455	1117	266	173
RNASEH2C_m65488210	RNASEH2C	705	1079	484	253
RNASEH2C_p65488130	RNASEH2C	1547	1736	1701	785
RNASEH2C_p65488136	RNASEH2C	538	1350	481	1539
RNASEH2C_p65488151	RNASEH2C	945	948	544	1010
RNASEH2C_p65488165	RNASEH2C	429	1288	408	242
RNASEH2C_p65488171	RNASEH2C	591	1648	536	2035
RNASEH2C_p65488184	RNASEH2C	1371	2978	1678	1861
RNASEL_m182555770	RNASEL	643	1751	471	2115
RNASEL_m182555775	RNASEL	441	1196	200	1417
RNASEL_m182555781	RNASEL	946	1505	482	2167
RNASEL_m182555804	RNASEL	336	1692	403	1583
RNASEL_m182555874	RNASEL	926	3430	848	2809
RNASEL_m182555883	RNASEL	689	2317	550	2627
RNASEL_m182555891	RNASEL	838	1040	255	1094
RNASEL_m182555931	RNASEL	958	1550	785	2813
RNASEL_p182555796	RNASEL	640	1386	365	1340
RNASEL_p182555893	RNASEL	234	1321	379	1275
RNF10_m120972639	RNF10	952	2433	513	2066
RNF10_m120972645	RNF10	628	1985	739	1991
RNF10_m120972651	RNF10	336	898	227	1480
RNF10_m120972678	RNF10	774	1582	364	1224
RNF10_m120972687	RNF10	80	163	125	151
RNF10_m120972746	RNF10	134	536	101	369
RNF10_m120972764	RNF10	271	582	260	965
RNF10_p120972689	RNF10	593	1055	438	891
RNF10_p120972749	RNF10	377	575	250	735
RNF10_p120984203	RNF10	402	653	473	1353
RNF111_m59323021	RNF111	940	1932	583	2054
RNF111_m59323039	RNF111	452	1111	310	559
RNF111_m59323090	RNF111	334	509	445	583
RNF111_m59323102	RNF111	333	698	297	838
RNF111_m59323171	RNF111	515	1844	355	1051
RNF111_m59323314	RNF111	1114	2381	873	2951
RNF111_m59323326	RNF111	528	1556	727	1655
RNF111_p59323010	RNF111	240	1663	304	1591
RNF111_p59323179	RNF111	377	182	230	707
RNF111_p59323355	RNF111	152	436	163	700
RNF112_m19314721	RNF112	510	1437	499	1085
RNF112_m19314727	RNF112	1030	1537	604	3161
RNF112_m19314733	RNF112	66	99	147	107
RNF112_m19315829	RNF112	308	617	341	1312
RNF112_m19315869	RNF112	356	753	259	451
RNF112_p19314707	RNF112	230	711	228	503
RNF112_p19314752	RNF112	1009	2670	609	3528
RNF112_p19314951	RNF112	869	2189	878	1804
RNF112_p19314961	RNF112	958	1216	620	1973
RNF112_p19315876	RNF112	290	362	265	534
RNF11_m51702471	RNF11	761	2302	740	1789
RNF11_m51702524	RNF11	260	1081	247	1336
RNF11_m51735639	RNF11	377	1357	520	617
RNF11_m51735653	RNF11	320	858	297	800
RNF11_m51735663	RNF11	160	454	416	415
RNF11_m51735668	RNF11	844	1732	298	559
RNF11_p51702475	RNF11	618	1767	664	2171
RNF11_p51702485	RNF11	309	1674	637	2473
RNF11_p51702490	RNF11	1114	1510	805	2081
RNF11_p51702529	RNF11	0	889	0	328
RNF130_m179498578	RNF130	879	2879	1062	3010
RNF130_m179498596	RNF130	759	1933	819	2736
RNF130_m179498608	RNF130	338	1321	259	2022
RNF130_m179498626	RNF130	188	1528	293	1235
RNF130_m179498691	RNF130	1122	2044	866	2947
RNF130_p179498587	RNF130	434	602	381	1301
RNF130_p179498610	RNF130	244	786	112	385
RNF130_p179498617	RNF130	590	642	317	1120
RNF130_p179498632	RNF130	775	1885	616	1770
RNF130_p179498642	RNF130	1327	2495	801	3410
RNF13_m149563865	RNF13	162	1305	240	1127
RNF13_m149570368	RNF13	60	410	128	209
RNF13_m149589839	RNF13	265	870	422	1334
RNF13_m149589849	RNF13	986	3064	815	3565
RNF13_m149589857	RNF13	771	1015	362	1928
RNF13_m149613324	RNF13	861	1714	349	1580
RNF13_m149613341	RNF13	594	1155	397	756
RNF13_p149563807	RNF13	485	2243	387	802
RNF13_p149613267	RNF13	1445	3025	1234	4163
RNF13_p149613312	RNF13	719	2575	652	2315
RNF146_m127607806	RNF146	416	428	223	716
RNF146_m127607831	RNF146	453	1447	458	1445
RNF146_m127607848	RNF146	473	1570	450	588
RNF146_m127607862	RNF146	539	1729	288	1966
RNF146_m127607873	RNF146	830	1774	631	2921
RNF146_m127607899	RNF146	281	287	217	388
RNF146_p127607752	RNF146	358	857	270	1222
RNF146_p127607792	RNF146	279	465	133	716
RNF146_p127607945	RNF146	0	189	12	142
RNF146_p127607976	RNF146	575	478	221	289
RNF14_m141357964	RNF14	556	1375	342	858
RNF14_m141358217	RNF14	1027	1969	917	1725
RNF14_m141358297	RNF14	702	1328	353	1545
RNF14_m141358384	RNF14	496	810	469	2268
RNF14_m141358389	RNF14	173	322	216	1019
RNF14_m141359721	RNF14	1217	3267	1457	5801
RNF14_p141358079	RNF14	360	658	152	620
RNF14_p141358223	RNF14	105	301	208	1164
RNF14_p141358373	RNF14	342	1149	288	1115
RNF14_p141359680	RNF14	167	625	31	795
RNF151_m2017297	RNF151	526	997	364	515
RNF151_m2017305	RNF151	708	1257	714	2353
RNF151_m2017310	RNF151	816	1862	689	1896
RNF151_m2017361	RNF151	217	829	102	613
RNF151_m2017373	RNF151	555	1921	497	2117
RNF151_m2017408	RNF151	279	704	236	486
RNF151_p2017259	RNF151	1395	1112	494	1714
RNF151_p2017322	RNF151	943	1389	377	694
RNF151_p2017344	RNF151	341	495	186	485
RNF151_p2017398	RNF151	320	1546	790	2340
RNF168_m196229974	RNF168	613	1184	410	543
RNF168_m196229996	RNF168	687	2151	548	1061
RNF168_p196229910	RNF168	867	580	458	642
RNF168_p196229926	RNF168	1215	884	755	755
RNF168_p196229934	RNF168	777	2049	665	974
RNF168_p196229939	RNF168	109	903	335	737
RNF168_p196229945	RNF168	497	1754	570	251
RNF168_p196229956	RNF168	444	732	158	373
RNF168_p196229980	RNF168	250	420	331	615
RNF168_p196229987	RNF168	130	180	40	286
RNF169_m74459943	RNF169	568	393	156	911
RNF169_m74459956	RNF169	442	1518	345	787
RNF169_m74459962	RNF169	305	526	97	1179
RNF169_m74460041	RNF169	90	214	83	231
RNF169_m74460047	RNF169	0	247	46	268
RNF169_p74459929	RNF169	151	400	207	514
RNF169_p74459945	RNF169	396	474	216	337
RNF169_p74459965	RNF169	361	574	204	1641
RNF169_p74459999	RNF169	752	1909	711	3240
RNF169_p74460012	RNF169	459	584	296	1129
RNF180_m63507955	RNF180	70	120	135	624
RNF180_m63507960	RNF180	62	260	32	56
RNF180_m63509472	RNF180	451	1545	581	2409
RNF180_m63509479	RNF180	293	937	210	936
RNF180_p63496680	RNF180	444	1027	411	2116
RNF180_p63496747	RNF180	249	433	216	2045
RNF180_p63507943	RNF180	605	545	423	709
RNF180_p63509370	RNF180	385	823	272	991
RNF180_p63509378	RNF180	447	601	186	1058
RNF180_p63509402	RNF180	602	1494	686	1571
RNF187_m228675220	RNF187	205	594	223	1373
RNF187_m228675247	RNF187	149	669	345	1594
RNF187_m228675265	RNF187	225	621	224	611
RNF187_m228675275	RNF187	525	890	420	1508
RNF187_m228675313	RNF187	866	1299	349	1082
RNF187_p228675182	RNF187	387	1118	202	1396
RNF187_p228675249	RNF187	995	1959	643	335
RNF187_p228675286	RNF187	946	3157	354	2184
RNF187_p228675293	RNF187	101	816	218	1012
