sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
20755	random	768	623	2510	973
20756	random	422	326	1182	424
20757	random	837	661	2133	784
20758	random	555	575	2125	824
20759	random	779	697	2813	886
20760	random	581	430	2205	427
20761	random	884	752	3386	782
20762	random	579	529	2245	584
20763	random	714	582	2417	764
20764	random	396	336	1242	293
20765	random	470	443	1900	533
20766	random	504	428	1660	568
20767	random	646	456	2139	482
20768	random	732	610	2063	702
