sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
20769	random	628	467	1533	588
20770	random	428	296	1395	325
20771	random	482	417	1764	404
20772	random	366	198	1019	164
20773	random	441	406	1368	624
20774	random	413	318	1044	390
20775	random	531	431	1219	379
20776	random	1070	807	3472	1128
20777	random	539	444	2104	715
20778	random	356	321	1257	522
20779	random	451	299	1622	502
20780	random	547	459	2050	398
20781	random	806	689	2653	820
20782	random	675	564	2320	837
20783	random	487	348	1539	522
20784	random	206	239	755	238
20785	random	442	406	1218	497
20786	random	406	321	924	387
20787	random	658	389	1884	475
20788	random	360	334	839	411
20789	random	373	361	1689	442
20790	random	526	463	1467	500
20791	random	311	285	827	456
20792	random	337	331	1062	417
20793	random	118	124	439	209
20794	random	469	417	1245	728
20795	random	939	724	3196	1064
20796	random	651	362	1981	531
20797	random	1048	777	3336	1035
20798	random	363	265	1180	245
20799	random	406	368	1212	537
20800	random	803	657	2961	1178
20801	random	291	260	772	318
20802	random	305	211	232	33
20803	random	467	427	1827	745
20804	random	801	767	2608	807
20805	random	646	587	2115	657
20806	random	522	468	1642	780
20807	random	1033	700	2904	903
20808	random	539	459	1623	487
20809	random	738	673	2464	741
20810	random	403	277	1100	354
20811	random	757	746	1903	823
20812	random	206	229	848	177
20813	random	631	497	2107	675
20814	random	481	423	1358	527
20815	random	818	727	2371	1049
20816	random	766	543	1879	740
20817	random	805	517	2131	614
20818	random	1054	818	2986	1171
20819	random	570	410	1653	669
20820	random	440	384	1386	378
20821	random	452	377	1085	606
20822	random	235	265	848	316
20823	random	231	145	671	165
20824	random	460	378	1784	430
20825	random	653	393	1831	428
20826	random	790	557	2772	685
20827	random	625	548	1883	716
20828	random	745	461	2188	809
20829	random	397	307	1070	283
20830	random	223	162	443	258
20831	random	498	370	1520	520
20832	random	218	180	575	250
20833	random	431	341	1694	582
20834	random	430	376	1042	451
20835	random	206	131	427	296
20836	random	615	486	1603	685
20837	random	622	523	2651	494
20838	random	741	422	2193	557
20839	random	440	470	1558	838
20840	random	670	559	1931	622
20841	random	226	159	581	297
20842	random	1013	714	2935	793
20843	random	496	378	1552	463
20844	random	508	352	1820	658
20845	random	896	617	2481	866
20846	random	742	633	2903	833
20847	random	711	642	2491	796
20848	random	644	745	2110	879
20849	random	561	428	1460	605
20850	random	334	315	1013	363
20851	random	373	397	1446	625
20852	random	304	260	859	288
20853	random	624	422	2317	734
20854	random	484	285	1185	526
20855	random	855	804	2718	963
20856	random	599	395	1706	546
20857	random	568	547	2614	757
20858	random	606	529	1345	630
20859	random	810	699	2827	616
20860	random	546	449	1326	540
20861	random	597	400	1380	605
20862	random	740	423	2180	616
20863	random	575	448	1812	582
20864	random	1282	951	3822	1195
20865	random	346	331	1088	580
20866	random	402	381	1063	395
20867	random	599	494	1629	587
20868	random	753	706	2764	781
20869	random	1352	1079	4461	1384
20870	random	924	672	2985	795
20871	random	241	167	807	139
20872	random	615	473	1929	628
20873	random	372	355	1027	524
20874	random	1276	1251	4040	1673
20875	random	273	348	1155	590
20876	random	680	531	1828	719
20877	random	588	485	1800	607
20878	random	823	552	2234	704
20879	random	384	396	1197	447
20880	random	157	141	506	155
20881	random	674	483	1931	605
20882	random	801	595	2735	698
20883	random	859	597	2271	488
20884	random	811	591	2379	663
20885	random	138	106	386	198
20886	random	565	524	1496	619
20887	random	815	556	2564	871
20888	random	308	310	1245	293
20889	random	528	446	2004	437
20890	random	629	544	1787	619
20891	random	627	470	1861	705
20892	random	408	444	1449	569
20893	random	716	780	2768	874
20894	random	708	667	2122	807
20895	random	435	298	967	512
20896	random	498	449	1537	631
20897	random	303	273	882	387
20898	random	796	727	2876	895
20899	random	888	803	2677	951
20900	random	643	577	1872	658
20901	random	91	83	127	9
20902	random	651	465	1749	374
20903	random	555	413	1636	443
20904	random	153	56	188	128
20905	random	350	379	1085	586
20906	random	446	302	1312	301
20907	random	870	720	2613	909
20908	random	545	480	1708	576
20909	random	416	272	1117	276
20910	random	672	672	2514	725
20911	random	767	637	2513	933
20912	random	439	351	1256	590
20913	random	9	12	22	0
20914	random	789	505	2548	503
20915	random	763	678	2276	826
20916	random	610	461	2308	693
20917	random	562	470	1992	729
20918	random	862	729	2616	1059
20919	random	439	329	1161	683
20920	random	687	496	1961	867
20921	random	722	668	2243	650
