guide	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
k562_hela:non-targeting_00827	random	1025	833	3291	873
k562_hela:non-targeting_00828	random	105	39	183	29
k562_hela:non-targeting_00829	random	381	297	1010	497
k562_hela:non-targeting_00830	random	678	681	2321	911
k562_hela:non-targeting_00831	random	157	166	634	348
k562_hela:non-targeting_00832	random	466	414	1735	591
k562_hela:non-targeting_00833	random	213	132	989	212
k562_hela:non-targeting_00834	random	440	305	1020	417
k562_hela:non-targeting_00835	random	343	275	665	312
k562_hela:non-targeting_00836	random	760	713	3041	955
k562_hela:non-targeting_00837	random	196	251	562	228
k562_hela:non-targeting_00838	random	207	92	782	54
k562_hela:non-targeting_00839	random	470	377	1484	452
k562_hela:non-targeting_00840	random	901	596	2405	921
k562_hela:non-targeting_00841	random	431	454	1534	571
k562_hela:non-targeting_00842	random	635	522	1691	760
k562_hela:non-targeting_00843	random	596	387	1620	497
k562_hela:non-targeting_00844	random	383	336	1794	466
k562_hela:non-targeting_00845	random	432	233	1431	410
k562_hela:non-targeting_00846	random	820	736	2656	961
k562_hela:non-targeting_00847	random	779	682	1717	676
k562_hela:non-targeting_00848	random	512	412	2024	521
k562_hela:non-targeting_00849	random	218	264	868	384
k562_hela:non-targeting_00850	random	783	568	2291	635
k562_hela:non-targeting_00851	random	626	516	1555	671
k562_hela:non-targeting_00852	random	697	525	2347	577
k562_hela:non-targeting_00853	random	368	335	1560	464
k562_hela:non-targeting_00854	random	696	479	2076	558
k562_hela:non-targeting_00855	random	793	714	2475	959
k562_hela:non-targeting_00856	random	705	658	2257	988
k562_hela:non-targeting_00857	random	685	470	2203	564
k562_hela:non-targeting_00858	random	770	696	2168	768
k562_hela:non-targeting_00859	random	301	246	1185	253
k562_hela:non-targeting_00860	random	658	601	2055	747
k562_hela:non-targeting_00861	random	219	166	435	314
k562_hela:non-targeting_00862	random	350	341	1119	504
k562_hela:non-targeting_00863	random	621	465	2184	779
k562_hela:non-targeting_00864	random	509	388	1223	554
k562_hela:non-targeting_00865	random	891	684	2334	619
k562_hela:non-targeting_00866	random	976	708	2815	825
k562_hela:non-targeting_00867	random	410	455	2053	498
k562_hela:non-targeting_00868	random	418	343	1208	344
k562_hela:non-targeting_00869	random	456	427	1409	422
k562_hela:non-targeting_00870	random	655	581	1981	615
k562_hela:non-targeting_00871	random	620	522	1775	745
k562_hela:non-targeting_00872	random	413	277	1334	420
k562_hela:non-targeting_00873	random	1441	1104	4759	1329
k562_hela:non-targeting_00874	random	411	340	1367	436
k562_hela:non-targeting_00875	random	359	326	1035	511
k562_hela:non-targeting_00876	random	614	517	2231	580
k562_hela:non-targeting_00877	random	484	312	1512	537
k562_hela:non-targeting_00878	random	647	560	2192	656
k562_hela:non-targeting_00879	random	899	704	2237	921
k562_hela:non-targeting_00880	random	479	390	1238	474
k562_hela:non-targeting_00881	random	450	421	1305	585
k562_hela:non-targeting_00882	random	851	646	2648	833
k562_hela:non-targeting_00883	random	403	305	1159	392
k562_hela:non-targeting_00884	random	464	422	1655	405
k562_hela:non-targeting_00885	random	277	189	936	250
k562_hela:non-targeting_00886	random	172	229	668	329
k562_hela:non-targeting_00887	random	567	540	2055	725
k562_hela:non-targeting_00888	random	495	406	1266	437
k562_hela:non-targeting_00889	random	605	540	2161	695
k562_hela:non-targeting_00890	random	423	370	1140	489
k562_hela:non-targeting_00891	random	703	544	2493	663
k562_hela:non-targeting_00892	random	281	273	1134	299
k562_hela:non-targeting_00893	random	1169	1023	3730	1582
k562_hela:non-targeting_00894	random	223	215	623	270
k562_hela:non-targeting_00895	random	227	194	850	173
k562_hela:non-targeting_00896	random	224	283	891	509
k562_hela:non-targeting_00897	random	325	262	558	300
k562_hela:non-targeting_00898	random	781	685	2425	862
k562_hela:non-targeting_00899	random	773	660	2047	664
k562_hela:non-targeting_00900	random	449	395	1373	705
k562_hela:non-targeting_00901	random	359	344	1176	312
k562_hela:non-targeting_00902	random	277	298	1072	399
k562_hela:non-targeting_00903	random	431	263	1442	347
k562_hela:non-targeting_00904	random	546	422	705	137
k562_hela:non-targeting_00905	random	349	347	1178	420
k562_hela:non-targeting_00906	random	661	318	1905	555
k562_hela:non-targeting_00907	random	402	365	1336	508
k562_hela:non-targeting_00908	random	368	285	1127	421
k562_hela:non-targeting_00909	random	625	465	1572	696
k562_hela:non-targeting_00910	random	1153	903	3321	1191
k562_hela:non-targeting_00911	random	561	430	1624	877
k562_hela:non-targeting_00912	random	240	147	428	212
k562_hela:non-targeting_00913	random	190	130	552	161
k562_hela:non-targeting_00914	random	238	144	710	388
k562_hela:non-targeting_00915	random	201	176	613	280
k562_hela:non-targeting_00916	random	557	465	2070	639
k562_hela:non-targeting_00917	random	416	418	1454	585
k562_hela:non-targeting_00918	random	1035	711	3000	1178
k562_hela:non-targeting_00919	random	407	256	1189	373
k562_hela:non-targeting_00920	random	1242	1040	4624	1464
k562_hela:non-targeting_00921	random	218	143	823	304
k562_hela:non-targeting_00922	random	574	504	2620	681
k562_hela:non-targeting_00923	random	510	449	1736	456
k562_hela:non-targeting_00924	random	235	163	706	310
k562_hela:non-targeting_00925	random	233	224	741	385
k562_hela:non-targeting_00926	random	473	452	1109	538
k562_hela:non-targeting_00927	random	755	549	2646	952
k562_hela:non-targeting_00928	random	610	495	1635	422
k562_hela:non-targeting_00929	random	317	153	1007	268
k562_hela:non-targeting_00930	random	291	260	1045	274
k562_hela:non-targeting_00931	random	405	406	1270	440
k562_hela:non-targeting_00932	random	201	159	531	203
k562_hela:non-targeting_00933	random	611	393	1693	527
k562_hela:non-targeting_00934	random	786	520	2591	769
k562_hela:non-targeting_00935	random	485	407	1493	731
k562_hela:non-targeting_00936	random	963	700	3074	943
k562_hela:non-targeting_00937	random	536	385	1655	467
k562_hela:non-targeting_00938	random	103	92	464	69
k562_hela:non-targeting_00939	random	321	194	1278	254
k562_hela:non-targeting_00940	random	262	256	991	226
k562_hela:non-targeting_00941	random	1442	1260	3876	1313
k562_hela:non-targeting_00942	random	607	455	1677	578
k562_hela:non-targeting_00943	random	807	599	2348	932
k562_hela:non-targeting_00944	random	671	608	2309	774
k562_hela:non-targeting_00945	random	794	482	2602	846
k562_hela:non-targeting_00946	random	477	340	1636	456
k562_hela_mcf7:non-targeting_00477	random	355	218	997	336
k562_hela_mcf7:non-targeting_00478	random	275	254	713	348
k562_hela_mcf7:non-targeting_00479	random	450	345	1392	547
k562_hela_mcf7:non-targeting_00480	random	336	352	1028	477
k562_hela_mcf7:non-targeting_00481	random	278	261	951	380
k562_hela_mcf7:non-targeting_00482	random	551	515	2195	789
k562_hela_mcf7:non-targeting_00483	random	369	346	1124	505
k562_hela_mcf7:non-targeting_00484	random	134	76	525	167
k562_hela_mcf7:non-targeting_00485	random	206	137	629	183
k562_hela_mcf7:non-targeting_00486	random	945	731	3246	890
k562_hela_mcf7:non-targeting_00487	random	175	204	718	281
k562_hela_mcf7:non-targeting_00488	random	376	358	1353	368
k562_hela_mcf7:non-targeting_00489	random	570	483	1339	599
k562_hela_mcf7:non-targeting_00490	random	785	611	2332	951
k562_hela_mcf7:non-targeting_00491	random	296	257	1124	369
k562_hela_mcf7:non-targeting_00492	random	979	733	3562	1060
k562_hela_mcf7:non-targeting_00493	random	449	223	995	386
k562_hela_mcf7:non-targeting_00494	random	302	307	833	338
k562_hela_mcf7:non-targeting_00495	random	963	944	3150	1132
k562_hela_mcf7:non-targeting_00496	random	531	397	1546	679
k562_hela_mcf7:non-targeting_00497	random	750	746	2710	995
k562_hela_mcf7:non-targeting_00498	random	210	238	402	225
k562_hela_mcf7:non-targeting_00499	random	416	292	1433	498
k562_hela_mcf7:non-targeting_00500	random	631	508	1748	606
k562_hela_mcf7:non-targeting_00501	random	316	252	659	306
k562_hela_mcf7:non-targeting_00502	random	652	538	2095	642
k562_hela_mcf7:non-targeting_00503	random	635	422	1876	584
k562_hela_mcf7:non-targeting_00504	random	13	24	185	25
k562_hela_mcf7:non-targeting_00505	random	460	301	1362	333
k562_hela_mcf7:non-targeting_00506	random	53	42	192	35
k562_hela_mcf7:non-targeting_00507	random	989	928	3755	1100
k562_hela_mcf7:non-targeting_00508	random	605	576	2190	799
k562_hela_mcf7:non-targeting_00509	random	702	645	2647	629
k562_hela_mcf7:non-targeting_00510	random	450	360	974	466
k562_hela_mcf7:non-targeting_00511	random	481	350	1262	421
k562_hela_mcf7:non-targeting_00512	random	460	357	1596	429
k562_hela_mcf7:non-targeting_00513	random	381	253	635	263
k562_hela_mcf7:non-targeting_00514	random	741	543	2157	779
k562_hela_mcf7:non-targeting_00515	random	497	499	1625	649
k562_hela_mcf7:non-targeting_00516	random	451	350	1613	457
k562_hela_mcf7:non-targeting_00517	random	344	277	1418	405
k562_hela_mcf7:non-targeting_00518	random	390	259	977	350
k562_hela_mcf7:non-targeting_00519	random	515	518	1698	592
k562_hela_mcf7:non-targeting_00520	random	1124	820	3630	1300
k562_hela_mcf7:non-targeting_00521	random	634	684	2905	912
k562_hela_mcf7:non-targeting_00522	random	428	346	1703	460
k562_hela_mcf7:non-targeting_00523	random	802	585	2707	810
k562_hela_mcf7:non-targeting_00524	random	715	635	2432	948
k562_hela_mcf7:non-targeting_00525	random	12	28	21	6
k562_hela_mcf7:non-targeting_00526	random	596	559	2044	642
k562_hela_mcf7:non-targeting_00527	random	586	439	1667	779
k562_hela_mcf7:non-targeting_00528	random	445	356	1076	485
k562_hela_mcf7:non-targeting_00529	random	414	366	1622	443
k562_hela_mcf7:non-targeting_00530	random	414	301	1135	370
k562_hela_mcf7:non-targeting_00531	random	1057	711	3083	1043
k562_hela_mcf7:non-targeting_00532	random	1164	854	3706	1319
k562_hela_mcf7:non-targeting_00533	random	442	301	1500	470
k562_hela_mcf7:non-targeting_00534	random	706	710	2145	722
k562_hela_mcf7:non-targeting_00535	random	595	432	1785	664
k562_hela_mcf7:non-targeting_00536	random	356	268	1032	334
k562_hela_mcf7:non-targeting_00537	random	1147	754	4333	911
k562_hela_mcf7:non-targeting_00538	random	227	191	596	313
k562_hela_mcf7:non-targeting_00539	random	299	321	1221	449
k562_hela_mcf7:non-targeting_00540	random	804	658	2743	776
k562_hela_mcf7:non-targeting_00541	random	287	317	886	492
k562_hela_mcf7:non-targeting_00542	random	696	630	2163	670
k562_hela_mcf7:non-targeting_00543	random	874	777	2997	1032
k562_hela_mcf7:non-targeting_00544	random	263	159	786	313
k562_hela_mcf7:non-targeting_00545	random	208	177	680	181
k562_hela_mcf7:non-targeting_00546	random	488	380	2021	682
k562_hela_mcf7:non-targeting_00547	random	55	59	230	112
k562_hela_mcf7:non-targeting_00548	random	340	325	913	388
k562_hela_mcf7:non-targeting_00549	random	93	43	344	82
k562_hela_mcf7:non-targeting_00550	random	368	333	1127	399
k562_hela_mcf7:non-targeting_00551	random	602	500	1811	788
k562_hela_mcf7:non-targeting_00552	random	189	64	670	98
k562_hela_mcf7:non-targeting_00553	random	690	413	1677	579
k562_hela_mcf7:non-targeting_00554	random	888	784	2694	1437
k562_hela_mcf7:non-targeting_00555	random	345	292	1077	376
k562_hela_mcf7:non-targeting_00556	random	496	347	1439	522
k562_hela_mcf7:non-targeting_00557	random	487	390	1257	566
k562_hela_mcf7:non-targeting_00558	random	737	510	1924	493
k562_hela_mcf7:non-targeting_00559	random	620	434	1853	623
k562_hela_mcf7:non-targeting_00560	random	117	143	383	254
k562_hela_mcf7:non-targeting_00561	random	475	437	1460	709
k562_hela_mcf7:non-targeting_00562	random	777	592	2509	738
k562_hela_mcf7:non-targeting_00563	random	320	276	979	283
k562_hela_mcf7:non-targeting_00564	random	287	283	847	365
k562_hela_mcf7:non-targeting_00565	random	858	797	2456	1096
k562_hela_mcf7:non-targeting_00566	random	238	164	707	201
k562_hela_mcf7:non-targeting_00567	random	343	417	1222	471
k562_hela_mcf7:non-targeting_00568	random	157	119	443	132
k562_hela_mcf7:non-targeting_00569	random	1230	912	3976	1091
k562_hela_mcf7:non-targeting_00570	random	1114	680	3387	777
k562_hela_mcf7:non-targeting_00571	random	1015	870	3057	1334
k562_hela_mcf7:non-targeting_00572	random	474	366	1443	471
k562_hela_mcf7:non-targeting_00573	random	1450	1374	4933	1824
k562_hela_mcf7:non-targeting_00574	random	543	403	1849	512
k562_hela_mcf7:non-targeting_00575	random	331	254	1160	363
k562_hela_mcf7:non-targeting_00576	random	815	670	3016	1130
k562_hela_mcf7:non-targeting_00577	random	749	520	2254	632
k562_hela_mcf7:non-targeting_00578	random	520	519	1302	737
k562_hela_mcf7:non-targeting_00579	random	818	643	1902	780
k562_hela_mcf7:non-targeting_00580	random	418	425	1110	498
k562_hela_mcf7:non-targeting_00581	random	1061	955	3163	1324
k562_hela_mcf7:non-targeting_00582	random	371	263	1170	367
k562_hela_mcf7:non-targeting_00583	random	1280	888	4841	1008
k562_hela_mcf7:non-targeting_00584	random	414	334	1841	535
k562_hela_mcf7:non-targeting_00585	random	413	374	1745	383
k562_hela_mcf7:non-targeting_00586	random	1736	1339	6141	2037
k562_hela_mcf7:non-targeting_00587	random	53	20	75	24
k562_hela_mcf7:non-targeting_00588	random	428	272	1504	509
k562_hela_mcf7:non-targeting_00589	random	710	582	2054	785
k562_hela_mcf7:non-targeting_00590	random	129	160	347	170
k562_hela_mcf7:non-targeting_00591	random	211	224	790	237
k562_hela_mcf7:non-targeting_00592	random	494	349	1392	617
k562_hela_mcf7:non-targeting_00593	random	838	628	2033	807
k562_hela_mcf7:non-targeting_00594	random	460	446	2131	642
k562_hela_mcf7:non-targeting_00595	random	694	609	2747	953
k562_hela_mcf7:non-targeting_00596	random	583	444	1445	589
k562_hela_mcf7:non-targeting_00597	random	453	469	1530	533
k562_hela_mcf7:non-targeting_00598	random	292	267	1113	379
k562_hela_mcf7:non-targeting_00599	random	993	974	3223	1445
k562_hela_mcf7:non-targeting_00600	random	189	193	437	249
k562_hela_mcf7:non-targeting_00601	random	704	575	2039	785
k562_hela_mcf7:non-targeting_00602	random	527	436	1579	553
k562_hela_mcf7:non-targeting_00603	random	556	492	1857	642
k562_hela_mcf7:non-targeting_00604	random	862	662	2736	734
k562_hela_mcf7:non-targeting_00605	random	648	594	2457	628
k562_hela_mcf7:non-targeting_00606	random	643	544	2619	588
k562_hela_mcf7:non-targeting_00607	random	278	214	788	247
k562_hela_mcf7:non-targeting_00608	random	628	606	2033	702
k562_hela_mcf7:non-targeting_00609	random	682	573	2081	751
k562_hela_mcf7:non-targeting_00610	random	657	674	2124	915
k562_hela_mcf7:non-targeting_00611	random	540	415	1889	566
k562_hela_mcf7:non-targeting_00612	random	201	153	565	246
k562_hela_mcf7:non-targeting_00613	random	619	513	1488	647
k562_hela_mcf7:non-targeting_00614	random	401	324	879	413
k562_hela_mcf7:non-targeting_00615	random	533	487	2132	619
k562_hela_mcf7:non-targeting_00616	random	316	248	788	335
k562_hela_mcf7:non-targeting_00617	random	643	635	2174	851
k562_hela_mcf7:non-targeting_00618	random	755	591	2931	636
k562_hela_mcf7:non-targeting_00619	random	543	391	1687	672
k562_hela_mcf7:non-targeting_00620	random	1095	758	3509	994
k562_hela_mcf7:non-targeting_00621	random	431	291	1700	339
k562_hela_mcf7:non-targeting_00622	random	249	181	1221	196
k562_hela_mcf7:non-targeting_00623	random	452	353	1494	582
k562_hela_mcf7:non-targeting_00624	random	404	320	820	316
k562_hela_mcf7:non-targeting_00625	random	269	172	891	404
k562_hela_mcf7:non-targeting_00626	random	276	297	1087	365
k562_hela_mcf7:non-targeting_00627	random	676	515	2460	668
k562_hela_mcf7:non-targeting_00628	random	272	240	517	133
k562_hela_mcf7:non-targeting_00629	random	725	600	2381	874
k562_hela_mcf7:non-targeting_00630	random	146	145	549	263
k562_hela_mcf7:non-targeting_00631	random	318	253	1038	240
k562_hela_mcf7:non-targeting_00632	random	314	231	780	280
k562_hela_mcf7:non-targeting_00633	random	986	762	3046	986
k562_hela_mcf7:non-targeting_00634	random	629	503	1881	718
k562_hela_mcf7:non-targeting_00635	random	536	355	1642	492
k562_hela_mcf7:non-targeting_00636	random	482	494	1378	647
k562_hela_mcf7:non-targeting_00637	random	612	465	1961	614
k562_hela_mcf7:non-targeting_00638	random	219	118	402	114
k562_hela_mcf7:non-targeting_00639	random	476	386	1358	537
k562_hela_mcf7:non-targeting_00640	random	766	626	2385	566
k562_hela_mcf7:non-targeting_00641	random	571	407	1834	418
k562_hela_mcf7:non-targeting_00642	random	345	284	1018	314
k562_hela_mcf7:non-targeting_00643	random	194	150	624	187
k562_hela_mcf7:non-targeting_00644	random	857	649	3035	1089
k562_hela_mcf7:non-targeting_00645	random	287	254	804	357
k562_hela_mcf7:non-targeting_00646	random	619	512	1683	568
k562_hela_mcf7:non-targeting_00647	random	582	495	1633	609
k562_hela_mcf7:non-targeting_00648	random	481	373	1960	478
k562_hela_mcf7:non-targeting_00649	random	624	388	1560	645
k562_hela_mcf7:non-targeting_00650	random	780	572	2935	603
k562_hela_mcf7:non-targeting_00651	random	322	348	993	542
k562_hela_mcf7:non-targeting_00652	random	376	290	1626	361
k562_hela_mcf7:non-targeting_00653	random	485	343	1249	405
k562_hela_mcf7:non-targeting_00654	random	237	184	620	326
k562_hela_mcf7:non-targeting_00655	random	401	262	874	508
k562_hela_mcf7:non-targeting_00656	random	352	351	1236	524
k562_hela_mcf7:non-targeting_00657	random	342	221	907	307
k562_hela_mcf7:non-targeting_00658	random	314	263	1218	333
k562_hela_mcf7:non-targeting_00659	random	585	366	1905	494
k562_hela_mcf7:non-targeting_00660	random	786	510	2420	922
k562_hela_mcf7:non-targeting_00661	random	416	370	1037	459
k562_hela_mcf7:non-targeting_00662	random	228	206	1119	255
k562_hela_mcf7:non-targeting_00663	random	48	57	255	70
k562_hela_mcf7:non-targeting_00664	random	149	102	450	230
k562_hela_mcf7:non-targeting_00665	random	1327	1017	4255	1319
k562_hela_mcf7:non-targeting_00666	random	632	535	1843	621
k562_hela_mcf7:non-targeting_00667	random	694	499	2162	860
k562_hela_mcf7:non-targeting_00668	random	463	410	1469	388
k562_hela_mcf7:non-targeting_00669	random	415	280	1377	444
k562_hela_mcf7:non-targeting_00670	random	259	334	1031	542
k562_hela_mcf7:non-targeting_00671	random	299	361	1532	543
k562_hela_mcf7:non-targeting_00672	random	665	467	1791	782
k562_hela_mcf7:non-targeting_00673	random	315	160	755	415
k562_hela_mcf7:non-targeting_00674	random	486	296	1486	330
k562_hela_mcf7:non-targeting_00675	random	339	291	1130	341
k562_hela_mcf7:non-targeting_00676	random	579	422	1536	689
k562_hela_mcf7:non-targeting_00677	random	354	238	965	394
k562_hela_mcf7:non-targeting_00678	random	190	143	558	227
k562_hela_mcf7:non-targeting_00679	random	535	374	1635	608
k562_hela_mcf7:non-targeting_00680	random	404	505	1901	538
k562_hela_mcf7:non-targeting_00681	random	640	422	1743	597
k562_hela_mcf7:non-targeting_00682	random	241	273	731	245
k562_hela_mcf7:non-targeting_00683	random	192	165	681	326
k562_hela_mcf7:non-targeting_00684	random	383	309	1136	510
k562_hela_mcf7:non-targeting_00685	random	429	333	1111	374
k562_hela_mcf7:non-targeting_00686	random	591	473	1821	518
k562_hela_mcf7:non-targeting_00687	random	765	627	2433	716
k562_hela_mcf7:non-targeting_00688	random	267	240	1152	400
k562_hela_mcf7:non-targeting_00689	random	613	386	1515	459
k562_hela_mcf7:non-targeting_00690	random	303	242	1207	327
k562_hela_mcf7:non-targeting_00691	random	112	73	354	97
k562_hela_mcf7:non-targeting_00692	random	146	120	506	218
k562_hela_mcf7:non-targeting_00693	random	175	175	657	212
k562_hela_mcf7:non-targeting_00694	random	835	738	2612	1032
k562_hela_mcf7:non-targeting_00695	random	475	407	1577	347
k562_hela_mcf7:non-targeting_00696	random	237	140	852	154
