guide	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
common:non-targeting_00140	random	360	334	839	411
common:non-targeting_00141	random	373	361	1689	442
common:non-targeting_00142	random	526	463	1467	500
common:non-targeting_00143	random	311	285	827	456
common:non-targeting_00144	random	337	331	1062	417
common:non-targeting_00145	random	118	124	439	209
common:non-targeting_00146	random	469	417	1245	728
common:non-targeting_00147	random	939	724	3196	1064
common:non-targeting_00148	random	651	362	1981	531
common:non-targeting_00149	random	1048	777	3336	1035
common:non-targeting_00150	random	363	265	1180	245
common:non-targeting_00151	random	406	368	1212	537
common:non-targeting_00152	random	803	657	2961	1178
common:non-targeting_00153	random	291	260	772	318
common:non-targeting_00154	random	305	211	232	33
common:non-targeting_00155	random	467	427	1827	745
common:non-targeting_00156	random	801	767	2608	807
common:non-targeting_00157	random	646	587	2115	657
common:non-targeting_00158	random	522	468	1642	780
common:non-targeting_00159	random	1033	700	2904	903
common:non-targeting_00160	random	539	459	1623	487
common:non-targeting_00161	random	738	673	2464	741
common:non-targeting_00162	random	403	277	1100	354
common:non-targeting_00163	random	757	746	1903	823
common:non-targeting_00164	random	206	229	848	177
common:non-targeting_00165	random	631	497	2107	675
common:non-targeting_00166	random	481	423	1358	527
common:non-targeting_00167	random	818	727	2371	1049
common:non-targeting_00168	random	766	543	1879	740
common:non-targeting_00169	random	805	517	2131	614
common:non-targeting_00170	random	1054	818	2986	1171
common:non-targeting_00171	random	570	410	1653	669
common:non-targeting_00172	random	440	384	1386	378
common:non-targeting_00173	random	452	377	1085	606
common:non-targeting_00174	random	235	265	848	316
common:non-targeting_00175	random	231	145	671	165
common:non-targeting_00176	random	460	378	1784	430
common:non-targeting_00177	random	653	393	1831	428
common:non-targeting_00178	random	790	557	2772	685
common:non-targeting_00179	random	625	548	1883	716
common:non-targeting_00180	random	745	461	2188	809
common:non-targeting_00181	random	397	307	1070	283
common:non-targeting_00182	random	223	162	443	258
common:non-targeting_00183	random	498	370	1520	520
common:non-targeting_00184	random	218	180	575	250
common:non-targeting_00185	random	431	341	1694	582
common:non-targeting_00186	random	430	376	1042	451
common:non-targeting_00187	random	206	131	427	296
common:non-targeting_00188	random	615	486	1603	685
common:non-targeting_00189	random	622	523	2651	494
common:non-targeting_00190	random	741	422	2193	557
common:non-targeting_00191	random	440	470	1558	838
common:non-targeting_00192	random	670	559	1931	622
common:non-targeting_00193	random	226	159	581	297
common:non-targeting_00194	random	1013	714	2935	793
common:non-targeting_00195	random	496	378	1552	463
common:non-targeting_00196	random	508	352	1820	658
common:non-targeting_00197	random	896	617	2481	866
common:non-targeting_00198	random	742	633	2903	833
common:non-targeting_00199	random	711	642	2491	796
common:non-targeting_00200	random	644	745	2110	879
common:non-targeting_00201	random	561	428	1460	605
