Spacer	Gene	KBM7initialRep1	KBM7finalRep1	KBM7initialRep2	KBM7finalRep2	K562initial	K562final	Jiyoyeinitial	Jiyoyefinal	Rajiinitial	Rajifinal
CTRL00367	CTRL	912	680	867	679	669	991	95	224	572	115
CTRL00368	CTRL	336	149	363	298	503	599	58	80	126	62
CTRL00369	CTRL	398	350	299	136	367	336	14	31	101	91
CTRL00370	CTRL	691	594	753	657	555	1056	167	150	280	122
CTRL00371	CTRL	935	668	716	925	660	1264	172	215	341	171
CTRL00372	CTRL	136	155	331	239	224	284	35	43	85	40
CTRL00373	CTRL	373	321	394	416	336	516	89	129	234	46
CTRL00374	CTRL	840	990	762	665	578	1613	197	236	517	182
CTRL00375	CTRL	808	403	865	528	749	844	191	167	304	133
CTRL00376	CTRL	569	647	538	357	351	821	221	123	285	111
CTRL00377	CTRL	437	286	320	407	277	456	60	82	215	75
CTRL00378	CTRL	839	636	557	515	671	1728	157	114	478	126
CTRL00379	CTRL	698	360	693	442	487	904	154	168	309	111
CTRL00380	CTRL	133	125	186	753	115	87	9	35	52	15
CTRL00381	CTRL	501	636	880	521	541	991	119	162	407	143
CTRL00382	CTRL	879	546	678	662	561	818	146	87	441	121
CTRL00383	CTRL	603	468	720	442	436	885	51	108	264	139
CTRL00384	CTRL	1287	714	1383	894	868	2023	510	391	704	240
CTRL00385	CTRL	209	270	335	256	180	269	30	21	110	36
CTRL00386	CTRL	786	1130	908	878	682	1554	168	149	314	146
CTRL00387	CTRL	2098	1218	1938	1358	1894	2959	327	442	1017	305
CTRL00388	CTRL	1520	912	1574	813	1254	1734	306	302	637	234
CTRL00389	CTRL	1965	2030	2523	1687	1973	3677	755	540	1521	409
CTRL00390	CTRL	379	339	465	199	251	898	150	36	233	54
CTRL00391	CTRL	1017	1338	991	831	629	1160	125	194	393	126
CTRL00392	CTRL	708	560	605	364	665	713	208	180	399	80
CTRL00393	CTRL	188	221	131	78	129	211	26	29	72	16
CTRL00394	CTRL	1261	1201	1170	798	902	1477	399	231	684	211
CTRL00395	CTRL	467	200	529	232	509	1021	207	162	362	88
CTRL00396	CTRL	430	600	735	377	605	748	46	122	287	118
CTRL00397	CTRL	2051	1723	3095	1524	1710	2492	585	446	1033	365
CTRL00398	CTRL	1679	1156	1876	1551	1334	2806	243	317	873	312
CTRL00399	CTRL	1190	1011	878	812	800	1187	189	255	447	119
CTRL00400	CTRL	395	223	208	73	124	279	20	35	154	47
CTRL00401	CTRL	180	97	167	64	96	148	8	20	83	21
CTRL00402	CTRL	616	543	543	413	451	656	118	146	354	110
CTRL00403	CTRL	349	234	282	251	277	530	80	88	105	42
CTRL00404	CTRL	1051	919	988	795	1049	2189	406	258	641	160
CTRL00405	CTRL	473	196	615	584	437	437	118	116	242	93
CTRL00406	CTRL	498	166	482	393	400	649	175	133	202	45
CTRL00407	CTRL	427	271	550	436	373	516	12	129	260	106
CTRL00408	CTRL	531	193	612	683	380	466	102	78	247	75
CTRL00409	CTRL	552	357	705	305	433	1070	82	199	432	134
CTRL00410	CTRL	537	614	642	448	433	833	143	139	317	95
CTRL00411	CTRL	1179	518	1000	534	727	1913	266	294	508	144
CTRL00412	CTRL	164	68	211	39	184	402	69	55	156	39
CTRL00413	CTRL	1269	773	877	673	906	1515	437	342	694	238
CTRL00414	CTRL	145	80	113	109	128	45	40	19	79	15
CTRL00415	CTRL	1305	1003	1386	943	957	1922	258	177	633	165
CTRL00416	CTRL	554	493	771	259	515	707	46	132	308	101
CTRL00417	CTRL	275	265	425	266	269	718	26	63	189	55
CTRL00418	CTRL	1086	762	857	762	798	689	149	288	529	123
CTRL00419	CTRL	191	339	142	69	67	218	27	24	69	16
CTRL00420	CTRL	802	511	742	721	528	785	110	91	384	105
CTRL00421	CTRL	819	500	991	908	703	1283	118	191	480	162
CTRL00422	CTRL	336	364	367	203	326	778	154	61	262	56
CTRL00423	CTRL	460	403	589	583	195	725	76	108	315	57
CTRL00424	CTRL	932	1137	818	867	849	1529	347	251	642	154
CTRL00425	CTRL	861	402	666	475	758	1247	199	185	260	149
CTRL00426	CTRL	134	41	34	53	22	32	61	0	69	0
CTRL00427	CTRL	347	224	236	332	252	479	56	81	118	55
CTRL00428	CTRL	593	553	498	356	453	953	108	123	352	73
CTRL00429	CTRL	1078	447	661	415	624	1453	220	202	382	105
CTRL00430	CTRL	378	332	391	285	508	533	18	73	237	40
CTRL00431	CTRL	1167	594	1290	1041	1032	1750	259	239	675	215
CTRL00432	CTRL	218	172	160	233	200	464	23	48	172	37
CTRL00433	CTRL	613	583	613	666	482	823	181	90	390	81
CTRL00434	CTRL	283	277	237	144	168	408	29	63	185	45
CTRL00435	CTRL	984	663	1058	492	626	915	167	149	354	115
CTRL00436	CTRL	1162	1217	1531	889	835	1011	245	164	348	114
CTRL00437	CTRL	437	250	334	352	478	424	183	142	181	85
CTRL00438	CTRL	409	219	573	416	306	617	85	77	272	78
CTRL00439	CTRL	1067	1072	989	782	768	1235	131	292	428	201
CTRL00440	CTRL	287	517	272	287	271	359	82	25	112	36
CTRL00441	CTRL	33	10	44	12	22	24	0	24	76	24
CTRL00442	CTRL	983	1045	1226	668	858	1777	335	282	803	245
CTRL00443	CTRL	1365	1119	1715	1030	1462	2604	392	221	877	310
CTRL00444	CTRL	1402	1001	1454	909	1228	1563	252	288	710	206
CTRL00445	CTRL	562	492	413	329	395	587	179	145	241	90
CTRL00446	CTRL	999	858	854	810	639	1036	223	208	465	210
CTRL00447	CTRL	489	322	240	85	157	784	45	66	123	89
CTRL00448	CTRL	579	309	560	619	345	646	159	122	327	84
CTRL00449	CTRL	1141	748	784	717	787	1269	137	190	586	106
CTRL00450	CTRL	1369	1025	2005	1285	1159	2147	280	282	757	215
CTRL00451	CTRL	66	121	71	27	9	245	0	2	1	0
CTRL00452	CTRL	480	257	433	325	291	581	164	52	183	68
CTRL00453	CTRL	109	36	78	87	48	155	20	5	11	5
CTRL00454	CTRL	139	58	101	125	89	93	7	5	70	15
CTRL00455	CTRL	1009	487	1066	678	653	858	137	110	392	127
CTRL00456	CTRL	1463	783	1343	1246	1240	2299	373	318	924	297
CTRL00457	CTRL	698	1014	881	550	775	1416	213	206	387	172
