ID	Target	Plasmid	8aB_rep1	8aB_rep2	8aB_rep3
CYB5B-1	CYB5B	1717	0	450	132
CYB5B-10	CYB5B	1910	0	221	624
CYB5B-11	CYB5B	2275	0	321	30
CYB5B-12	CYB5B	1591	739	714	210
CYB5B-13	CYB5B	226	0	353	0
CYB5B-14	CYB5B	1507	0	0	0
CYB5B-2	CYB5B	1202	0	0	9
CYB5B-3	CYB5B	2669	2031	613	633
CYB5B-4	CYB5B	1758	0	0	17
CYB5B-5	CYB5B	923	0	0	894
CYB5B-6	CYB5B	536	0	0	193
CYB5B-7	CYB5B	1408	0	1043	646
CYB5B-8	CYB5B	738	0	0	0
CYB5B-9	CYB5B	486	623	112	0
CYB5D2-1	CYB5D2	2626	1062	0	576
CYB5D2-10	CYB5D2	1111	1	0	1519
CYB5D2-2	CYB5D2	1460	0	0	400
CYB5D2-3	CYB5D2	642	0	0	586
CYB5D2-4	CYB5D2	237	0	595	0
CYB5D2-5	CYB5D2	391	0	389	11
CYB5D2-6	CYB5D2	1730	0	0	353
CYB5D2-7	CYB5D2	241	0	0	283
CYB5D2-8	CYB5D2	1054	0	0	575
CYB5D2-9	CYB5D2	225	0	250	5
CYB5R1-1	CYB5R1	914	362	412	763
CYB5R1-2	CYB5R1	1331	0	651	597
CYB5R1-3	CYB5R1	702	0	370	0
CYB5R1-4	CYB5R1	3551	0	0	1
CYB5R1-5	CYB5R1	888	1	0	1076
CYB5R1-6	CYB5R1	514	0	0	560
CYB5R1-7	CYB5R1	69	0	0	0
CYBA-1	CYBA	1635	0	0	924
CYBA-10	CYBA	346	0	0	239
CYBA-11	CYBA	1197	0	169	403
CYBA-12	CYBA	0	0	0	0
CYBA-13	CYBA	221	0	0	0
CYBA-14	CYBA	2582	0	1223	630
CYBA-2	CYBA	932	0	67	1
CYBA-3	CYBA	1025	0	0	11
CYBA-4	CYBA	1310	0	0	415
CYBA-5	CYBA	194	0	0	0
CYBA-6	CYBA	945	0	0	1020
CYBA-7	CYBA	475	0	0	651
CYBA-8	CYBA	1117	0	144	23
CYBA-9	CYBA	1284	458	0	401
CYBB-1	CYBB	854	0	1	0
CYBB-2	CYBB	0	0	0	0
CYBB-3	CYBB	2426	0	0	176
CYBB-4	CYBB	563	0	0	0
CYBRD1-1	CYBRD1	1239	0	0	0
CYBRD1-2	CYBRD1	0	0	0	0
CYBRD1-3	CYBRD1	230	0	0	1
CYBRD1-4	CYBRD1	217	0	461	50
CYBRD1-5	CYBRD1	435	0	0	0
CYBRD1-6	CYBRD1	669	0	0	679
CYBRD1-7	CYBRD1	726	0	0	0
CYHR1-1	CYHR1	462	0	0	0
CYHR1-10	CYHR1	218	0	0	0
CYHR1-2	CYHR1	345	0	528	3
CYHR1-3	CYHR1	0	0	0	0
CYHR1-4	CYHR1	1338	0	83	317
CYHR1-5	CYHR1	299	0	0	0
CYHR1-6	CYHR1	90	0	0	0
CYHR1-7	CYHR1	421	1	952	0
CYHR1-8	CYHR1	178	0	0	0
CYHR1-9	CYHR1	354	0	6	612
CYP1A1-1	CYP1A1	1337	494	171	0
CYP1A1-2	CYP1A1	220	0	0	1
CYP1A1-3	CYP1A1	149	0	0	7
CYP1A1-4	CYP1A1	602	290	0	19
CYP1A1-5	CYP1A1	247	0	0	0
CYP1A1-6	CYP1A1	652	0	0	3
CYP1A1-7	CYP1A1	53	0	0	0
CYP1A2-1	CYP1A2	818	0	0	0
CYP1A2-2	CYP1A2	435	0	235	0
CYP1A2-3	CYP1A2	244	0	0	204
CYP1A2-4	CYP1A2	1584	0	0	2
CYP1A2-5	CYP1A2	441	0	0	484
CYP1A2-6	CYP1A2	1095	0	0	1256
CYP1A2-7	CYP1A2	731	0	0	666
CYP20A1-1	CYP20A1	1893	0	300	279
CYP20A1-2	CYP20A1	1023	0	0	1
CYP20A1-3	CYP20A1	1531	0	0	906
CYP20A1-4	CYP20A1	615	0	561	0
CYP20A1-5	CYP20A1	860	0	0	432
CYP20A1-6	CYP20A1	125	0	0	0
CYP20A1-7	CYP20A1	0	0	0	0
CYP26A1-1	CYP26A1	906	0	0	441
CYP26A1-2	CYP26A1	647	0	0	1
CYP26A1-3	CYP26A1	339	0	0	0
CYP26A1-4	CYP26A1	1185	0	36	367
CYP26A1-5	CYP26A1	472	0	0	0
CYP26A1-6	CYP26A1	514	0	0	0
CYP26A1-7	CYP26A1	129	0	0	0
CYP26C1-1	CYP26C1	965	0	0	11
CYP26C1-2	CYP26C1	1471	154	0	527
CYP26C1-3	CYP26C1	377	314	0	0
CYP26C1-4	CYP26C1	79	0	0	0
CYP26C1-5	CYP26C1	634	0	0	707
CYP26C1-6	CYP26C1	366	0	0	3
CYP26C1-7	CYP26C1	435	0	0	520
CYP2A13-1	CYP2A13	696	0	351	0
CYP2A13-2	CYP2A13	618	0	0	330
CYP2A13-3	CYP2A13	746	0	0	0
CYP2A13-4	CYP2A13	457	0	238	0
CYP2A13-5	CYP2A13	1067	820	112	0
CYP2A13-6	CYP2A13	283	0	0	0
CYP2A13-7	CYP2A13	70	0	0	0
CYP2A6-1	CYP2A6	337	0	0	0
CYP2A6-2	CYP2A6	1224	1241	237	0
CYP2A6-3	CYP2A6	1260	0	0	250
CYP2A6-4	CYP2A6	1056	0	418	3
CYP2A6-5	CYP2A6	911	0	351	421
CYP2A6-6	CYP2A6	2308	1122	130	10
CYP2A6-7	CYP2A6	1454	0	479	146
CYP2A7-1	CYP2A7	524	685	0	193
CYP2A7-2	CYP2A7	451	0	1	900
CYP2A7-3	CYP2A7	627	0	0	76
CYP2A7-4	CYP2A7	920	0	0	0
CYP2A7-5	CYP2A7	508	0	0	4
CYP2A7-6	CYP2A7	762	0	0	209
CYP2A7-7	CYP2A7	661	0	114	1212
CYP2C8-1	CYP2C8	1510	0	269	703
CYP2C8-2	CYP2C8	682	0	0	257
CYP2C8-3	CYP2C8	388	0	370	7
CYP2C8-4	CYP2C8	908	0	752	0
CYP2C8-5	CYP2C8	759	0	0	0
CYP2C8-6	CYP2C8	996	0	0	67
CYP2C8-7	CYP2C8	262	55	0	0
CYP2D6-1	CYP2D6	2866	0	366	1082
CYP2D6-10	CYP2D6	328	0	0	10
CYP2D6-11	CYP2D6	1465	0	1712	567
CYP2D6-12	CYP2D6	559	0	0	0
CYP2D6-13	CYP2D6	1234	0	0	1
CYP2D6-14	CYP2D6	1970	0	578	0
CYP2D6-2	CYP2D6	576	0	0	0
CYP2D6-3	CYP2D6	2735	0	654	1
CYP2D6-4	CYP2D6	300	0	178	191
CYP2D6-5	CYP2D6	55	0	0	0
CYP2D6-6	CYP2D6	0	0	0	0
CYP2D6-7	CYP2D6	0	0	0	0
CYP2D6-8	CYP2D6	819	0	299	350
CYP2D6-9	CYP2D6	840	0	0	0
CYP2E1-1	CYP2E1	1672	291	359	1495
CYP2E1-10	CYP2E1	0	0	0	0
CYP2E1-11	CYP2E1	1473	1657	0	261
CYP2E1-12	CYP2E1	440	0	0	471
CYP2E1-13	CYP2E1	997	0	0	678
CYP2E1-14	CYP2E1	1198	0	597	263
CYP2E1-2	CYP2E1	1616	0	72	19
CYP2E1-3	CYP2E1	0	0	0	0
CYP2E1-4	CYP2E1	1845	1147	429	863
CYP2E1-5	CYP2E1	1064	880	593	9
CYP2E1-6	CYP2E1	1367	0	4	1173
CYP2E1-7	CYP2E1	736	0	0	6
CYP2E1-8	CYP2E1	314	0	36	1
CYP2E1-9	CYP2E1	142	0	0	0
CYP2F1-1	CYP2F1	1497	0	375	520
CYP2F1-2	CYP2F1	414	0	0	3
CYP2F1-3	CYP2F1	0	0	0	0
CYP2F1-4	CYP2F1	1114	0	206	454
CYP2F1-5	CYP2F1	1058	0	0	567
CYP2F1-6	CYP2F1	0	0	0	0
CYP2F1-7	CYP2F1	1486	0	423	503
CYP2J2-1	CYP2J2	138	0	0	0
CYP2J2-2	CYP2J2	893	0	122	0
CYP2J2-3	CYP2J2	1192	1284	0	637
CYP2J2-4	CYP2J2	150	0	25	0
CYP2J2-5	CYP2J2	852	0	104	0
CYP2J2-6	CYP2J2	281	0	0	0
CYP2J2-7	CYP2J2	479	0	162	0
CYP2J2-8	CYP2J2	718	0	33	167
CYP2R1-1	CYP2R1	2358	1105	105	341
CYP2R1-10	CYP2R1	168	0	0	0
CYP2R1-11	CYP2R1	80	0	0	0
CYP2R1-12	CYP2R1	49	0	0	0
CYP2R1-13	CYP2R1	468	0	0	283
CYP2R1-14	CYP2R1	510	0	206	2
CYP2R1-2	CYP2R1	1271	145	0	1008
CYP2R1-3	CYP2R1	465	0	0	0
CYP2R1-4	CYP2R1	791	0	283	4
CYP2R1-5	CYP2R1	967	0	933	657
CYP2R1-6	CYP2R1	1345	0	323	1120
CYP2R1-7	CYP2R1	1109	0	449	111
CYP2R1-8	CYP2R1	732	0	0	0
CYP2R1-9	CYP2R1	400	1	0	0
CYP2S1-1	CYP2S1	604	570	0	3
CYP2S1-10	CYP2S1	1006	0	0	112
CYP2S1-11	CYP2S1	582	0	418	0
CYP2S1-12	CYP2S1	1103	0	399	391
CYP2S1-13	CYP2S1	619	0	248	507
CYP2S1-14	CYP2S1	115	0	0	0
CYP2S1-2	CYP2S1	771	0	0	402
CYP2S1-3	CYP2S1	1145	0	264	0
CYP2S1-4	CYP2S1	0	0	0	0
CYP2S1-5	CYP2S1	637	340	41	0
CYP2S1-6	CYP2S1	1048	1	0	359
CYP2S1-7	CYP2S1	362	0	0	0
CYP2S1-8	CYP2S1	0	0	0	0
CYP2S1-9	CYP2S1	557	0	0	3
CYP2U1-1	CYP2U1	891	0	233	1032
CYP2U1-10	CYP2U1	504	0	61	0
CYP2U1-11	CYP2U1	214	1	1	440
CYP2U1-12	CYP2U1	2703	0	901	28
CYP2U1-2	CYP2U1	2304	0	0	15
CYP2U1-3	CYP2U1	51	0	0	1
CYP2U1-4	CYP2U1	755	0	403	0
CYP2U1-5	CYP2U1	657	0	200	262
CYP2U1-6	CYP2U1	1966	0	1077	363
CYP2U1-7	CYP2U1	658	0	716	0
CYP2U1-8	CYP2U1	834	0	298	234
CYP2U1-9	CYP2U1	0	0	0	0
CYP39A1-1	CYP39A1	687	0	0	0
CYP39A1-2	CYP39A1	124	0	0	0
CYP39A1-3	CYP39A1	840	596	130	0
CYP39A1-4	CYP39A1	244	0	0	0
CYP39A1-5	CYP39A1	612	0	0	218
CYP39A1-6	CYP39A1	906	269	0	250
CYP39A1-7	CYP39A1	1380	0	0	0
CYP3A4-1	CYP3A4	951	0	0	0
CYP3A4-2	CYP3A4	1916	0	0	14
CYP3A4-3	CYP3A4	0	0	0	0
CYP3A43-1	CYP3A43	757	0	369	266
CYP3A43-2	CYP3A43	317	0	0	1
CYP3A43-3	CYP3A43	1065	0	396	495
CYP3A43-4	CYP3A43	587	0	0	16
CYP3A43-5	CYP3A43	419	0	20	672
CYP3A43-6	CYP3A43	761	0	0	1675
CYP3A43-7	CYP3A43	133	0	0	0
CYP3A4-4	CYP3A4	853	0	0	1741
CYP3A4-5	CYP3A4	1123	0	58	711
CYP3A4-6	CYP3A4	305	0	343	5
CYP3A5-1	CYP3A5	0	0	0	0
CYP3A5-2	CYP3A5	915	0	0	0
CYP3A5-3	CYP3A5	1446	0	838	0
CYP3A5-4	CYP3A5	406	0	0	1
CYP3A5-5	CYP3A5	1513	0	540	0
CYP3A5-6	CYP3A5	1836	0	0	209
CYP3A5-7	CYP3A5	244	0	0	266
CYP3A5-8	CYP3A5	3522	838	1099	774
CYP3A7-1	CYP3A7	201	0	0	0
CYP3A7-2	CYP3A7	1466	0	48	785
CYP3A7-3	CYP3A7	134	0	0	0
CYP3A7-4	CYP3A7	300	0	0	0
CYP3A7-5	CYP3A7	700	0	0	170
CYP3A7-6	CYP3A7	475	0	0	9
CYP3A7-7	CYP3A7	623	0	0	162
CYP4A11-1	CYP4A11	1062	0	540	1299
CYP4A11-2	CYP4A11	834	3	0	0
CYP4A11-3	CYP4A11	1061	910	444	317
CYP4A11-4	CYP4A11	393	0	0	0
CYP4A11-5	CYP4A11	635	0	621	8
CYP4A22-1	CYP4A22	1432	0	0	1
CYP4A22-2	CYP4A22	157	0	0	0
CYP4A22-3	CYP4A22	441	820	694	1
CYP4A22-4	CYP4A22	224	0	0	0
CYP4A22-5	CYP4A22	816	453	0	260
CYP4B1-1	CYP4B1	69	0	0	0
CYP4B1-2	CYP4B1	605	0	57	5
CYP4B1-3	CYP4B1	2949	389	717	528
CYP4B1-4	CYP4B1	1083	0	155	7
CYP4B1-5	CYP4B1	162	0	0	0
CYP4B1-6	CYP4B1	87	0	0	10
CYP4B1-7	CYP4B1	723	1	0	552
CYP4F11-1	CYP4F11	915	0	0	1396
CYP4F11-2	CYP4F11	467	0	53	176
CYP4F11-3	CYP4F11	1428	0	0	6
CYP4F11-4	CYP4F11	623	0	0	0
CYP4F11-5	CYP4F11	530	0	0	0
CYP4F11-6	CYP4F11	900	0	0	390
CYP4F11-7	CYP4F11	579	0	0	0
CYP4F12-1	CYP4F12	849	0	0	215
CYP4F12-2	CYP4F12	884	420	0	10
CYP4F12-3	CYP4F12	595	1189	1	12
CYP4F12-4	CYP4F12	269	0	0	220
CYP4F12-5	CYP4F12	1074	0	1592	624
CYP4F12-6	CYP4F12	354	0	0	0
CYP4F12-7	CYP4F12	429	0	299	5
CYP4F2-1	CYP4F2	1108	309	653	558
CYP4F2-2	CYP4F2	310	0	0	0
CYP4F22-1	CYP4F22	49	0	0	0
CYP4F22-2	CYP4F22	608	0	406	248
CYP4F22-3	CYP4F22	735	0	838	0
CYP4F22-4	CYP4F22	619	0	0	954
CYP4F22-5	CYP4F22	1735	0	245	229
CYP4F22-6	CYP4F22	932	0	35	0
CYP4F22-7	CYP4F22	1084	287	278	296
CYP4F2-3	CYP4F2	578	0	0	727
CYP4F2-4	CYP4F2	49	0	0	0
CYP4F2-5	CYP4F2	1351	974	0	0
CYP4F2-6	CYP4F2	256	0	0	0
CYP4F2-7	CYP4F2	1112	312	0	29
CYP4F2-8	CYP4F2	57	0	0	1
CYP4F3-1	CYP4F3	750	0	10	417
CYP4F3-10	CYP4F3	1405	0	845	1113
CYP4F3-11	CYP4F3	665	0	99	24
CYP4F3-12	CYP4F3	558	0	0	549
CYP4F3-13	CYP4F3	180	0	0	11
CYP4F3-14	CYP4F3	0	0	0	0
CYP4F3-2	CYP4F3	1255	303	0	645
CYP4F3-3	CYP4F3	398	0	318	1
CYP4F3-4	CYP4F3	755	0	434	362
CYP4F3-5	CYP4F3	492	0	0	677
CYP4F3-6	CYP4F3	1006	0	0	10
CYP4F3-7	CYP4F3	1188	0	162	101
CYP4F3-8	CYP4F3	478	0	0	1
CYP4F3-9	CYP4F3	439	0	0	341
CYP4F8-1	CYP4F8	459	0	0	0
CYP4F8-2	CYP4F8	350	0	0	0
CYP4F8-3	CYP4F8	359	0	0	0
CYP4F8-4	CYP4F8	441	0	0	0
CYP4F8-5	CYP4F8	596	0	0	712
CYP4F8-6	CYP4F8	0	0	0	0
CYP4F8-7	CYP4F8	12	0	0	0
CYP4V2-1	CYP4V2	1635	373	571	447
CYP4V2-10	CYP4V2	184	0	0	0
CYP4V2-11	CYP4V2	946	0	0	322
CYP4V2-12	CYP4V2	720	0	671	154
CYP4V2-13	CYP4V2	120	0	0	0
CYP4V2-14	CYP4V2	572	0	0	9
CYP4V2-2	CYP4V2	731	0	0	152
CYP4V2-3	CYP4V2	176	0	0	0
CYP4V2-4	CYP4V2	47	0	0	0
CYP4V2-5	CYP4V2	617	434	0	2
CYP4V2-6	CYP4V2	733	0	0	274
CYP4V2-7	CYP4V2	821	0	182	542
CYP4V2-8	CYP4V2	2965	151	315	1784
CYP4V2-9	CYP4V2	387	0	0	0
CYP4X1-1	CYP4X1	356	0	1	0
CYP4X1-2	CYP4X1	1856	961	0	716
CYP4X1-3	CYP4X1	912	0	0	0
CYP4X1-4	CYP4X1	551	0	88	361
CYP4X1-5	CYP4X1	146	0	0	0
CYP4X1-6	CYP4X1	877	0	0	21
CYP4X1-7	CYP4X1	978	0	116	1114
CYP4Z1-1	CYP4Z1	908	0	0	614
CYP4Z1-2	CYP4Z1	760	0	0	1
CYP4Z1-3	CYP4Z1	0	0	0	0
CYP4Z1-4	CYP4Z1	0	0	0	0
CYP4Z1-5	CYP4Z1	695	0	325	145
CYP4Z1-6	CYP4Z1	716	0	1354	0
CYP4Z1-7	CYP4Z1	1041	0	178	394
CYP51A1-1	CYP51A1	466	0	115	0
CYP51A1-10	CYP51A1	849	0	0	261
CYP51A1-11	CYP51A1	1280	0	39	587
CYP51A1-12	CYP51A1	1077	0	0	3
CYP51A1-13	CYP51A1	1553	0	211	796
CYP51A1-14	CYP51A1	1362	0	0	530
CYP51A1-2	CYP51A1	33	0	0	0
CYP51A1-3	CYP51A1	417	0	0	214
CYP51A1-4	CYP51A1	927	0	0	0
CYP51A1-5	CYP51A1	288	0	0	0
CYP51A1-6	CYP51A1	227	0	0	0
CYP51A1-7	CYP51A1	989	0	252	0
CYP51A1-8	CYP51A1	2265	0	404	189
CYP51A1-9	CYP51A1	0	0	0	0
CYP7A1-1	CYP7A1	47	0	0	0
CYP7A1-2	CYP7A1	1008	262	0	201
CYP7A1-3	CYP7A1	673	0	0	172
CYP7A1-4	CYP7A1	1716	0	0	1
CYP7A1-5	CYP7A1	110	0	0	0
CYP7A1-6	CYP7A1	752	0	199	2
CYP8B1-1	CYP8B1	336	0	0	0
CYP8B1-2	CYP8B1	115	0	0	0
CYP8B1-3	CYP8B1	486	0	50	238
CYP8B1-4	CYP8B1	603	0	0	0
CYP8B1-5	CYP8B1	895	0	0	13
CYP8B1-6	CYP8B1	884	0	0	186
CYP8B1-7	CYP8B1	514	0	0	5
CYSLTR1-1	CYSLTR1	763	1	0	0
CYSLTR1-2	CYSLTR1	459	0	0	122
CYSLTR1-3	CYSLTR1	1625	0	97	69
CYSLTR1-4	CYSLTR1	1493	350	774	1044
CYSLTR1-5	CYSLTR1	640	0	0	606
CYSLTR1-6	CYSLTR1	66	0	0	0
CYSLTR1-7	CYSLTR1	667	0	487	475
CYSLTR2-1	CYSLTR2	494	0	0	7
CYSLTR2-2	CYSLTR2	854	0	0	939
CYSLTR2-3	CYSLTR2	460	0	111	1599
CYSLTR2-4	CYSLTR2	186	1	0	433
CYSLTR2-5	CYSLTR2	632	0	217	0
CYSLTR2-6	CYSLTR2	792	0	0	0
CYSLTR2-7	CYSLTR2	1014	0	467	1060
CYTH1-1	CYTH1	172	0	0	0
CYTH1-10	CYTH1	119	0	0	243
CYTH1-11	CYTH1	121	831	0	0
CYTH1-12	CYTH1	188	1	0	0
CYTH1-13	CYTH1	146	0	0	6
CYTH1-14	CYTH1	531	0	0	0
CYTH1-15	CYTH1	165	0	0	0
CYTH1-16	CYTH1	358	0	0	0
CYTH1-2	CYTH1	61	0	0	0
CYTH1-3	CYTH1	1574	320	903	131
CYTH1-4	CYTH1	1421	711	0	100
CYTH1-5	CYTH1	11	0	0	0
CYTH1-6	CYTH1	187	0	0	24
CYTH1-7	CYTH1	435	0	180	1
CYTH1-8	CYTH1	1087	0	157	625
CYTH1-9	CYTH1	822	0	0	198
CYYR1-1	CYYR1	324	0	0	0
CYYR1-2	CYYR1	382	0	0	5
CYYR1-3	CYYR1	452	0	0	0
DAD1-1	DAD1	1497	736	0	105
DAD1-2	DAD1	1106	0	0	7
DAD1-3	DAD1	108	0	0	0
DAD1-4	DAD1	116	0	0	0
DAD1-5	DAD1	720	1168	0	412
DAD1-6	DAD1	928	0	186	0
DAD1-7	DAD1	602	0	1	1
DAG1-1	DAG1	658	0	0	321
DAG1-10	DAG1	2236	0	409	199
DAG1-11	DAG1	1293	0	0	609
DAG1-2	DAG1	1614	552	1406	4
DAG1-3	DAG1	311	0	0	0
DAG1-4	DAG1	210	0	0	0
DAG1-5	DAG1	1130	0	321	633
DAG1-6	DAG1	275	0	0	173
DAG1-7	DAG1	961	0	0	1327
DAG1-8	DAG1	1549	656	32	306
DAG1-9	DAG1	702	0	0	466
DAGLA-1	DAGLA	795	0	538	0
DAGLA-2	DAGLA	347	564	0	17
DAGLA-3	DAGLA	1263	0	0	969
DAGLA-4	DAGLA	1456	18	184	779
DAGLA-5	DAGLA	1530	0	0	1076
DAGLB-1	DAGLB	472	0	42	0
DAGLB-2	DAGLB	259	0	0	0
DAGLB-3	DAGLB	1234	0	462	115
DAGLB-4	DAGLB	1883	806	134	417
DAGLB-5	DAGLB	184	0	0	0
DAGLB-6	DAGLB	75	0	0	0
DAGLB-7	DAGLB	602	0	276	3
DAPK1-1	DAPK1	883	0	502	200
DAPK1-10	DAPK1	1029	0	88	97
DAPK1-11	DAPK1	450	71	0	0
DAPK1-12	DAPK1	321	0	0	0
DAPK1-13	DAPK1	0	0	0	0
DAPK1-14	DAPK1	0	0	0	0
DAPK1-2	DAPK1	831	0	0	1125
DAPK1-3	DAPK1	133	0	0	23
DAPK1-4	DAPK1	0	0	0	0
DAPK1-5	DAPK1	1471	0	359	0
DAPK1-6	DAPK1	974	783	0	470
DAPK1-7	DAPK1	501	0	262	423
DAPK1-8	DAPK1	278	0	0	0
DAPK1-9	DAPK1	603	0	0	1
DAPK2-1	DAPK2	351	0	0	0
DAPK2-2	DAPK2	503	0	98	458
DAPK2-3	DAPK2	368	696	0	176
DAPK2-4	DAPK2	1023	0	0	0
DAPK2-5	DAPK2	390	0	0	0
DAPK2-6	DAPK2	414	0	0	1
DAPK2-7	DAPK2	131	0	0	0
DAPK3-1	DAPK3	1406	0	0	343
DAPK3-10	DAPK3	181	0	0	23
DAPK3-11	DAPK3	1597	176	850	1
DAPK3-12	DAPK3	349	0	0	2
DAPK3-13	DAPK3	477	0	0	777
DAPK3-14	DAPK3	977	0	90	418
DAPK3-2	DAPK3	850	0	0	2
DAPK3-3	DAPK3	270	0	0	0
DAPK3-4	DAPK3	974	0	0	7
DAPK3-5	DAPK3	826	0	180	0
DAPK3-6	DAPK3	404	0	0	1
DAPK3-7	DAPK3	854	0	252	2
DAPK3-8	DAPK3	1572	944	152	2426
DAPK3-9	DAPK3	1304	0	28	297
DAPL1-1	DAPL1	491	1	384	317
DAPL1-2	DAPL1	2300	210	84	0
DAPL1-3	DAPL1	36	0	0	0
DAPL1-4	DAPL1	554	0	630	0
DAPL1-5	DAPL1	174	0	0	0
DAPL1-6	DAPL1	491	660	0	393
DAPL1-7	DAPL1	573	0	1	1
DARC-1	DARC	252	0	0	0
DARC-2	DARC	599	0	59	5
DARC-3	DARC	917	0	0	552
DARC-4	DARC	980	0	0	235
DARC-5	DARC	1015	0	0	587
DARC-6	DARC	265	0	254	0
DBH-1	DBH	232	0	0	0
DBH-2	DBH	254	0	0	0
DBH-3	DBH	240	0	224	437
DBH-4	DBH	2029	0	121	694
DBH-5	DBH	1275	0	93	8
DBH-6	DBH	1081	0	0	322
DBH-7	DBH	2129	0	141	1363
DCAF17-1	DCAF17	2985	0	617	656
DCAF17-10	DCAF17	773	0	0	0
DCAF17-11	DCAF17	0	0	0	0
DCAF17-12	DCAF17	1791	714	1127	1266
DCAF17-13	DCAF17	911	740	0	3
DCAF17-14	DCAF17	1506	0	0	250
DCAF17-2	DCAF17	857	0	0	0
DCAF17-3	DCAF17	1467	2	0	8
DCAF17-4	DCAF17	1699	0	0	346
DCAF17-5	DCAF17	2443	0	112	403
DCAF17-6	DCAF17	1164	0	0	4
DCAF17-7	DCAF17	689	842	0	0
DCAF17-8	DCAF17	2124	551	0	306
DCAF17-9	DCAF17	877	0	188	769
DCAKD-1	DCAKD	130	0	0	0
DCAKD-10	DCAKD	1445	0	0	774
DCAKD-2	DCAKD	281	0	0	4
DCAKD-3	DCAKD	765	411	0	0
DCAKD-4	DCAKD	3417	0	2113	392
DCAKD-5	DCAKD	586	556	0	1069
DCAKD-6	DCAKD	61	0	0	0
DCAKD-7	DCAKD	166	0	0	0
DCAKD-8	DCAKD	14	0	0	0
DCAKD-9	DCAKD	126	0	0	0
DCBLD1-1	DCBLD1	1469	0	229	0
DCBLD1-2	DCBLD1	649	84	0	196
DCBLD1-3	DCBLD1	1223	0	0	21
DCBLD1-4	DCBLD1	995	790	0	264
DCBLD1-5	DCBLD1	1497	0	0	905
DCBLD1-6	DCBLD1	559	0	0	205
DCBLD1-7	DCBLD1	1435	0	0	574
DCBLD2-1	DCBLD2	656	0	0	337
DCBLD2-2	DCBLD2	351	0	433	0
DCBLD2-3	DCBLD2	559	0	0	0
DCBLD2-4	DCBLD2	465	0	0	0
DCBLD2-5	DCBLD2	227	0	0	0
DCBLD2-6	DCBLD2	468	0	232	0
DCC-1	DCC	855	0	0	14
DCC-10	DCC	545	0	152	380
DCC-2	DCC	340	0	0	173
DCC-3	DCC	615	0	100	0
DCC-4	DCC	0	0	0	0
DCC-5	DCC	726	0	0	0
DCC-6	DCC	692	0	0	372
DCC-7	DCC	1300	0	0	0
DCC-8	DCC	2115	0	305	407
DCC-9	DCC	1507	0	508	302
DCHS1-1	DCHS1	179	0	0	0
DCHS1-2	DCHS1	392	0	0	0
DCHS1-3	DCHS1	1573	0	206	88
DCHS1-4	DCHS1	655	0	0	0
DCHS1-5	DCHS1	752	929	90	332
DCHS1-6	DCHS1	35	0	0	0
DCHS1-7	DCHS1	1057	0	0	324
DCHS2-1	DCHS2	2074	0	0	1001
DCHS2-2	DCHS2	434	0	0	3
DCHS2-3	DCHS2	1716	0	170	1233
DCHS2-4	DCHS2	211	0	0	18
DCHS2-5	DCHS2	470	0	0	0
DCHS2-6	DCHS2	1308	0	21	971
DCHS2-7	DCHS2	132	0	0	0
DCLK1-1	DCLK1	1206	0	134	0
DCLK1-10	DCLK1	502	29	0	272
DCLK1-11	DCLK1	483	806	0	520
DCLK1-12	DCLK1	1187	1216	150	0
DCLK1-13	DCLK1	905	837	0	894
DCLK1-14	DCLK1	723	0	138	470
DCLK1-2	DCLK1	110	0	0	127
DCLK1-3	DCLK1	1206	0	1000	709
DCLK1-4	DCLK1	1468	0	431	364
DCLK1-5	DCLK1	175	0	0	567
DCLK1-6	DCLK1	1781	0	70	622
DCLK1-7	DCLK1	392	0	0	600
DCLK1-8	DCLK1	751	0	357	0
DCLK1-9	DCLK1	252	0	0	0
DCLK3-1	DCLK3	274	0	0	662
DCLK3-2	DCLK3	791	0	260	882
DCLK3-3	DCLK3	512	0	306	79
DCLK3-4	DCLK3	171	0	0	0
DCLK3-5	DCLK3	1289	0	479	318
DCLK3-6	DCLK3	1043	0	473	464
DCLK3-7	DCLK3	283	0	0	0
DCN-1	DCN	862	0	0	1
DCN-2	DCN	1065	897	157	240
DCN-3	DCN	1538	713	84	538
DCP1B-1	DCP1B	885	0	115	0
DCP1B-2	DCP1B	1171	0	0	242
DCP1B-3	DCP1B	495	0	0	393
DCP1B-4	DCP1B	734	0	0	1
DCP1B-5	DCP1B	520	1	0	0
DCP1B-6	DCP1B	849	0	477	0
DCP1B-7	DCP1B	264	0	0	20
DCST1-1	DCST1	1158	597	0	118
DCST1-2	DCST1	1470	0	0	773
DCST1-3	DCST1	1284	0	0	172
DCST1-4	DCST1	433	0	0	752
DCST1-5	DCST1	501	0	1	0
DCST1-6	DCST1	1239	0	820	166
DCST1-7	DCST1	2462	257	199	27
DCST2-1	DCST2	607	0	0	6
DCST2-10	DCST2	0	0	0	0
DCST2-11	DCST2	711	0	141	0
DCST2-12	DCST2	1038	0	0	253
DCST2-13	DCST2	258	0	0	0
DCST2-14	DCST2	1830	0	0	5
DCST2-2	DCST2	815	1109	0	461
DCST2-3	DCST2	251	0	0	0
DCST2-4	DCST2	176	0	52	4
DCST2-5	DCST2	1606	0	222	0
DCST2-6	DCST2	836	737	0	0
DCST2-7	DCST2	623	0	725	451
DCST2-8	DCST2	399	0	379	206
DCST2-9	DCST2	492	0	0	0
