guide	plasmid	cas9T14Rep1	cas9T14Rep2	gene
FGF9_13_w_22246102.26-all	639	411	464	FGF9
FGFBP1_4_c_15938222.25-all	570	284	404	FGFBP1
FGFBP1_4_c_15938234.27-all	447	229	340	FGFBP1
FGFBP1_4_c_15938235.25-all	755	451	558	FGFBP1
FGFBP1_4_w_15938166.27-all	179	128	233	FGFBP1
FGFBP2_4_c_15964738.25-all	568	297	549	FGFBP2
FGFBP2_4_c_15964739.26-all	1543	820	1230	FGFBP2
FGFBP2_4_c_15964740.28-all	2178	1137	1827	FGFBP2
FGFBP2_4_w_15964724.26-all	637	302	493	FGFBP2
FGFBP3_10_c_93668716.23-all	714	349	1081	FGFBP3
FGFBP3_10_c_93668719.22-all	566	278	758	FGFBP3
FGFBP3_10_w_93668645.28-all	884	378	740	FGFBP3
FGFBP3_10_w_93668653.26-all	506	226	435	FGFBP3
FGFR1OP2_12_c_27109519.27-all	888	437	681	FGFR1OP2
FGFR1OP2_12_c_27109525.24-all	749	376	612	FGFR1OP2
FGFR1OP2_12_w_27110566.27-all	261	153	398	FGFR1OP2
FGFR1OP2_12_w_27110637.28-all	391	190	302	FGFR1OP2
FGFR1OP_6_c_167412933.28-all	508	270	596	FGFR1OP
FGFR1OP_6_c_167412942.28-all	332	154	605	FGFR1OP
FGFR1OP_6_w_167412916.25-all	65	43	397	FGFR1OP
FGFR1OP_6_w_167412928.27-all	356	176	471	FGFR1OP
FGFR1_8_c_38285588.26-all	909	439	782	FGFR1
FGFR1_8_c_38285589.27-all	1463	727	1213	FGFR1
FGFR1_8_c_38285610.25-all	408	219	368	FGFR1
FGFR1_8_w_38285899.25-all	1322	537	1311	FGFR1
FGFR2_10_c_123353290.28-all	713	286	415	FGFR2
FGFR2_10_c_123353304.24-all	390	185	375	FGFR2
FGFR2_10_w_123353294.27-all	798	324	531	FGFR2
FGFR2_10_w_123353300.28-all	569	273	421	FGFR2
FGFR3_4_w_1795668.26-all	2527	1280	2239	FGFR3
FGFR3_4_w_1795669.25-all	1721	901	1469	FGFR3
FGFR3_4_w_1795670.24-all	735	403	807	FGFR3
FGFR3_4_w_1795680.25-all	645	294	411	FGFR3
FGFR4_5_c_176516630.24-all	274	120	338	FGFR4
FGFR4_5_w_176516619.27-all	1446	793	1186	FGFR4
FGFR4_5_w_176516620.27-all	789	398	576	FGFR4
FGFR4_5_w_176516632.28-all	1122	552	721	FGFR4
FGFRL1_4_w_1006279.28-all	634	258	450	FGFRL1
FGFRL1_4_w_1006284.27-all	1277	785	1438	FGFRL1
FGFRL1_4_w_1006285.28-all	867	576	1009	FGFRL1
FGFRL1_4_w_1006286.27-all	507	332	568	FGFRL1
FGGY_1_c_59787250.24-all	588	281	463	FGGY
FGGY_1_c_59787260.23-all	331	185	671	FGGY
FGGY_1_c_59787261.24-all	760	430	1353	FGGY
FGGY_1_w_59787242.27-all	875	477	742	FGGY
FGG_4_c_155533740.27-all	301	188	288	FGG
FGG_4_c_155533741.23-all	331	170	412	FGG
FGG_4_c_155533742.24-all	701	297	830	FGG
FGG_4_c_155533750.26-all	244	152	319	FGG
FGL1_8_c_17743028.28-all	841	390	565	FGL1
FGL1_8_c_17743039.28-all	670	457	542	FGL1
FGL1_8_w_17743009.27-all	1813	845	1311	FGL1
FGL1_8_w_17743013.23-all	1140	522	882	FGL1
FGL2_7_c_76829066.25-all	514	345	529	FGL2
FGL2_7_w_76829043.25-all	432	225	401	FGL2
FGL2_7_w_76829049.25-all	971	440	905	FGL2
FGL2_7_w_76829057.27-all	592	285	533	FGL2
FGR_1_c_27950396.26-all	1121	556	788	FGR
FGR_1_w_27950390.28-all	936	471	1273	FGR
FGR_1_w_27950393.27-all	586	291	827	FGR
FGR_1_w_27950399.26-all	229	156	225	FGR
FHDC1_4_c_153864236.26-all	1236	496	660	FHDC1
FHDC1_4_c_153864288.26-all	1099	518	686	FHDC1
FHDC1_4_w_153864264.27-all	589	321	472	FHDC1
FHDC1_4_w_153864272.28-all	388	201	249	FHDC1
FHIT_3_c_60522630.25-all	818	397	734	FHIT
FHIT_3_c_60522660.27-all	507	263	386	FHIT
FHIT_3_c_60522661.28-all	920	482	772	FHIT
FHIT_3_w_60522611.27-all	575	311	515	FHIT
FHL1_X_c_135288623.25-all	1090	540	601	FHL1
FHL1_X_c_135288624.26-all	2121	1002	1365	FHL1
FHL1_X_c_135288636.27-all	450	295	462	FHL1
FHL1_X_c_135288637.28-all	1093	629	1065	FHL1
FHL2_2_c_106002913.25-all	215	102	265	FHL2
FHL2_2_c_106002949.25-all	535	251	511	FHL2
FHL2_2_c_106002952.28-all	900	411	762	FHL2
FHL2_2_w_106002926.28-all	545	224	383	FHL2
FHL3_1_c_38465045.22-all	697	462	975	FHL3
FHL3_1_c_38465046.24-all	494	224	605	FHL3
FHL3_1_w_38465010.28-all	882	400	650	FHL3
FHL3_1_w_38465037.26-all	518	275	453	FHL3
FHL5_6_c_97051538.28-all	731	371	437	FHL5
FHL5_6_c_97051615.28-all	697	362	846	FHL5
FHL5_6_c_97052651.27-all	647	244	447	FHL5
FHL5_6_w_97051567.25-all	721	388	574	FHL5
FHOD1_16_c_67281279.28-all	526	335	524	FHOD1
FHOD1_16_c_67281295.24-all	281	129	438	FHOD1
FHOD1_16_w_67281276.28-all	298	163	373	FHOD1
FHOD1_16_w_67281284.27-all	106	83	102	FHOD1
FHOD3_18_c_33877831.22-all	945	415	880	FHOD3
FHOD3_18_c_33877840.27-all	532	263	567	FHOD3
FHOD3_18_w_33877802.26-all	672	335	505	FHOD3
FHOD3_18_w_33877815.28-all	728	368	583	FHOD3
FH_1_c_241682983.25-all	322	148	330	FH
FH_1_c_241682985.27-all	642	268	836	FH
FH_1_c_241683001.26-all	254	182	463	FH
FH_1_c_241683016.27-all	345	172	495	FH
FIBCD1_9_c_133813982.22-all	67	16	563	FIBCD1
FIBCD1_9_w_133813962.23-all	159	73	928	FIBCD1
FIBCD1_9_w_133813965.27-all	231	124	742	FIBCD1
FIBCD1_9_w_133813966.26-all	131	68	288	FIBCD1
FIBIN_11_c_27016125.27-all	504	222	513	FIBIN
FIBIN_11_c_27016137.28-all	810	342	706	FIBIN
FIBIN_11_w_27016111.28-all	1342	648	1133	FIBIN
FIBIN_11_w_27016114.28-all	579	308	488	FIBIN
FIBP_11_c_65655850.25-all	754	429	607	FIBP
FIBP_11_c_65655851.26-all	1311	740	1034	FIBP
FIBP_11_w_65655804.24-all	932	512	578	FIBP
FIBP_11_w_65655837.23-all	1861	940	1028	FIBP
FICD_12_c_108910779.26-all	550	267	450	FICD
FICD_12_c_108910799.25-all	651	303	605	FICD
FICD_12_w_108910761.26-all	1047	592	641	FICD
FICD_12_w_108910791.24-all	782	320	782	FICD
FIG4_6_w_110012641.27-all	708	350	573	FIG4
FIG4_6_w_110012642.26-all	337	139	242	FIG4
FIG4_6_w_110012648.26-all	652	319	380	FIG4
FIG4_6_w_110012654.27-all	806	379	684	FIG4
FIGF_X_w_15401988.24-all	730	389	571	FIGF
FIGF_X_w_15402006.27-all	1350	613	986	FIGF
FIGF_X_w_15402007.26-all	828	409	632	FIGF
FIGF_X_w_15402013.28-all	853	434	713	FIGF
FIGLA_2_c_71017757.23-all	600	335	635	FIGLA
FIGLA_2_c_71017762.28-all	379	196	435	FIGLA
FIGLA_2_c_71017763.24-all	317	188	445	FIGLA
FIGLA_2_c_71017764.24-all	406	162	470	FIGLA
FIGNL1_7_c_50514905.24-all	839	387	717	FIGNL1
FIGNL1_7_c_50514955.25-all	734	338	611	FIGNL1
FIGNL1_7_c_50514977.24-all	862	342	780	FIGNL1
FIGNL1_7_w_50514914.27-all	877	441	571	FIGNL1
FIGN_2_c_164468284.28-all	943	436	570	FIGN
FIGN_2_c_164468285.26-all	1962	833	1193	FIGN
FIGN_2_c_164468295.28-all	1027	444	803	FIGN
FIGN_2_w_164468278.28-all	454	223	407	FIGN
FILIP1L_3_c_99569758.27-all	445	239	596	FILIP1L
FILIP1L_3_w_99569768.28-all	585	320	545	FILIP1L
FILIP1L_3_w_99569775.25-all	642	262	468	FILIP1L
FILIP1L_3_w_99569789.26-all	659	236	368	FILIP1L
FILIP1_6_c_76124633.26-all	806	359	542	FILIP1
FILIP1_6_c_76124638.26-all	373	223	291	FILIP1
FILIP1_6_w_76124646.23-all	884	334	664	FILIP1
FILIP1_6_w_76124647.23-all	1102	522	1048	FILIP1
FIP1L1_4_c_54244038.22-all	436	164	892	FIP1L1
FIP1L1_4_c_54244048.26-all	104	40	772	FIP1L1
FIP1L1_4_w_54244012.25-all	135	54	657	FIP1L1
FIP1L1_4_w_54244028.27-all	156	56	651	FIP1L1
FIS1_7_c_100887373.26-all	685	300	516	FIS1
FIS1_7_w_100888248.28-all	1595	742	1454	FIS1
FIS1_7_w_100888251.28-all	858	393	626	FIS1
FIS1_7_w_100888260.22-all	705	320	673	FIS1
FITM1_14_c_24600805.27-all	21	5	4	FITM1
FITM1_14_c_24600807.28-all	325	174	42	FITM1
FITM1_14_c_24600808.26-all	575	311	363	FITM1
FITM1_14_c_24600813.27-all	614	310	163	FITM1
FITM2_20_w_42939750.26-all	1550	634	1970	FITM2
FITM2_20_w_42939751.26-all	1026	424	1387	FITM2
FITM2_20_w_42939752.25-all	631	207	734	FITM2
FITM2_20_w_42939761.25-all	616	289	663	FITM2
FIZ1_19_c_56109212.26-all	595	329	383	FIZ1
FIZ1_19_c_56109213.28-all	1096	588	674	FIZ1
FIZ1_19_c_56109214.26-all	1227	657	844	FIZ1
FIZ1_19_c_56109218.28-all	960	533	685	FIZ1
FJX1_11_c_35640220.27-all	534	206	589	FJX1
FJX1_11_w_35640206.27-all	452	217	745	FJX1
FJX1_11_w_35640209.24-all	197	104	368	FJX1
FJX1_11_w_35640212.25-all	252	106	408	FJX1
FKBP10_17_w_39969291.26-all	391	183	489	FKBP10
FKBP10_17_w_39969292.24-all	164	72	309	FKBP10
FKBP10_17_w_39969293.27-all	188	76	91	FKBP10
FKBP10_17_w_39969300.28-all	232	119	392	FKBP10
FKBP11_12_c_49317612.25-all	634	316	601	FKBP11
FKBP11_12_w_49317600.27-all	942	525	631	FKBP11
FKBP11_12_w_49318005.24-all	1179	515	1229	FKBP11
FKBP11_12_w_49318006.23-all	518	253	713	FKBP11
FKBP14_7_c_30066057.28-all	1025	519	787	FKBP14
FKBP14_7_w_30066066.23-all	1443	709	775	FKBP14
FKBP14_7_w_30066067.28-all	1289	609	1112	FKBP14
FKBP14_7_w_30066068.27-all	757	349	622	FKBP14
FKBP15_9_c_115973860.28-all	371	174	300	FKBP15
FKBP15_9_c_115983494.23-all	142	81	206	FKBP15
FKBP15_9_w_115983470.23-all	521	209	870	FKBP15
FKBP15_9_w_115983473.26-all	846	408	632	FKBP15
FKBP1A_20_c_1373512.27-all	1099	460	537	FKBP1A
FKBP1A_20_c_1373514.22.pass20-all	649	339	700	FKBP1A
FKBP1A_20_c_1373518.26-all	1212	566	1196	FKBP1A
FKBP1A_20_w_1373503.22-all	932	417	756	FKBP1A
FKBP1B_2_c_24272750.26-all	945	394	555	FKBP1B
FKBP1B_2_w_24276782.28-all	1809	1008	1130	FKBP1B
FKBP1B_2_w_24276783.27-all	1073	574	659	FKBP1B
FKBP1B_2_w_24276793.24-all	944	511	794	FKBP1B
FKBP2_11_c_64009916.28-all	234	122	256	FKBP2
FKBP2_11_w_64009876.28-all	420	210	339	FKBP2
FKBP2_11_w_64009882.28-all	668	369	496	FKBP2
FKBP2_11_w_64009896.28-all	39	9	15	FKBP2
FKBP3_14_c_45603643.28-all	541	233	468	FKBP3
FKBP3_14_c_45603648.23-all	754	366	761	FKBP3
FKBP3_14_w_45603629.25-all	731	400	477	FKBP3
FKBP3_14_w_45603634.23-all	520	264	464	FKBP3
FKBP4_12_c_2904339.26-all	303	136	344	FKBP4
FKBP4_12_c_2904340.27-all	582	304	803	FKBP4
FKBP4_12_c_2904350.26-all	700	346	635	FKBP4
FKBP4_12_w_2904330.25-all	140	60	292	FKBP4
FKBP5_6_c_35610581.28-all	198	111	291	FKBP5
FKBP5_6_w_35610508.27-all	353	164	310	FKBP5
FKBP5_6_w_35610536.28-all	1344	684	1041	FKBP5
FKBP5_6_w_35610537.27-all	725	377	563	FKBP5
FKBP6_7_c_72745689.26-all	592	288	393	FKBP6
FKBP6_7_w_72744278.27-all	324	179	264	FKBP6
FKBP6_7_w_72744285.25-all	1044	543	846	FKBP6
FKBP6_7_w_72745677.26-all	417	201	348	FKBP6
FKBP7_2_c_179343131.27-all	685	312	510	FKBP7
FKBP7_2_w_179343170.28-all	1389	578	1067	FKBP7
FKBP7_2_w_179343171.27-all	921	395	671	FKBP7
FKBP7_2_w_179343172.26-all	492	238	363	FKBP7
FKBP8_19_c_18652745.27-all	574	284	637	FKBP8
FKBP8_19_c_18652751.27-all	417	258	444	FKBP8
FKBP8_19_c_18652752.28-all	580	344	684	FKBP8
FKBP8_19_c_18652760.28-all	588	287	462	FKBP8
FKBP9_7_w_32997193.27-all	412	227	381	FKBP9
FKBP9_7_w_32997207.27-all	380	183	341	FKBP9
FKBP9_7_w_32997226.26-all	472	251	369	FKBP9
FKBP9_7_w_32997246.27-all	312	168	303	FKBP9
FKBPL_6_c_32097508.25-all	971	437	769	FKBPL
FKBPL_6_c_32097544.27-all	626	374	658	FKBPL
FKBPL_6_w_32097494.27-all	799	358	613	FKBPL
FKBPL_6_w_32097528.24-all	627	342	494	FKBPL
FKRP_19_w_47258717.28-all	1224	575	1025	FKRP
FKRP_19_w_47258718.27-all	593	327	604	FKRP
FKRP_19_w_47258724.27-all	436	282	479	FKRP
FKRP_19_w_47258732.27-all	768	352	549	FKRP
FKTN_9_c_108337337.23-all	611	326	613	FKTN
FKTN_9_c_108337343.27-all	720	391	535	FKTN
FKTN_9_w_108337344.25-all	968	407	1157	FKTN
FKTN_9_w_108337345.24-all	591	260	775	FKTN
FLAD1_1_c_154960580.27-all	39	11	10	FLAD1
FLAD1_1_c_154960581.28-all	430	221	297	FLAD1
FLAD1_1_w_154960596.27-all	493	204	484	FLAD1
FLAD1_1_w_154960602.26-all	589	238	408	FLAD1
FLCN_17_c_17131404.27-all	366	168	535	FLCN
FLCN_17_c_17131405.28-all	933	418	960	FLCN
FLCN_17_c_17131412.27-all	318	148	288	FLCN
FLCN_17_c_17131427.26-all	448	264	447	FLCN
FLG2_1_c_152331304.27-all	682	340	461	FLG2
FLG2_1_c_152331331.26-all	593	314	414	FLG2
FLG2_1_c_152331355.26-all	754	326	426	FLG2
FLG2_1_w_152331269.25-all	865	503	596	FLG2
FLG_1_c_152287219.27-all	1118	594	632	FLG
FLG_1_c_152287903.28-all	375	177	345	FLG
FLG_1_w_152287806.25-all	533	295	566	FLG
FLG_1_w_152287829.28-all	457	294	321	FLG
FLI1_11_c_128675296.26-all	848	535	703	FLI1
FLI1_11_w_128651864.26-all	410	189	356	FLI1
FLI1_11_w_128651876.24-all	416	171	303	FLI1
FLI1_11_w_128651885.26-all	730	345	435	FLI1
FLII_17_c_18160304.27-all	775	332	827	FLII
FLII_17_c_18160320.23-all	690	298	767	FLII
FLII_17_c_18160321.24-all	951	410	1420	FLII
FLII_17_w_18160305.24-all	190	79	654	FLII
FLNA_X_c_153599601.27-all	671	295	461	FLNA
FLNA_X_c_153599602.28-all	1181	525	979	FLNA
FLNA_X_w_153599587.22-all	451	244	762	FLNA
FLNA_X_w_153599588.23-all	226	104	329	FLNA
FLNB_3_c_57994321.25-all	1000	534	811	FLNB
FLNB_3_c_57994332.25-all	1254	621	669	FLNB
FLNB_3_w_57994294.23-all	1052	597	832	FLNB
FLNB_3_w_57994377.25-all	1244	557	697	FLNB
FLNC_7_c_128470722.27-all	553	248	536	FLNC
FLNC_7_c_128470728.25-all	386	177	430	FLNC
FLNC_7_w_128470719.25-all	762	435	537	FLNC
FLNC_7_w_128470723.25-all	630	334	453	FLNC
FLOT1_6_c_30709629.25-all	687	349	613	FLOT1
FLOT1_6_c_30709947.24-all	668	369	673	FLOT1
FLOT1_6_c_30709948.24-all	767	430	832	FLOT1
FLOT1_6_w_30709938.26-all	1211	549	962	FLOT1
FLOT2_17_c_27216028.26-all	478	212	375	FLOT2
FLOT2_17_c_27224567.23-all	369	202	617	FLOT2
FLOT2_17_c_27224580.26-all	320	147	328	FLOT2
FLOT2_17_w_27224549.23-all	255	120	528	FLOT2
FLRT1_11_w_63883754.25-all	215	107	619	FLRT1
FLRT1_11_w_63883767.28-all	1742	782	1219	FLRT1
FLRT1_11_w_63883770.28-all	1198	544	836	FLRT1
FLRT1_11_w_63883773.28-all	289	136	221	FLRT1
FLRT2_14_c_86087892.24-all	562	316	646	FLRT2
FLRT2_14_w_86087863.25-all	656	370	650	FLRT2
FLRT2_14_w_86087883.28-all	673	321	1010	FLRT2
FLRT2_14_w_86087887.24-all	389	193	553	FLRT2
FLRT3_20_c_14308125.28-all	471	310	476	FLRT3
FLRT3_20_w_14308105.28-all	790	380	562	FLRT3
FLRT3_20_w_14308116.27-all	1708	833	1192	FLRT3
FLRT3_20_w_14308117.26-all	695	335	495	FLRT3
FLT1_13_c_29041724.25-all	516	221	575	FLT1
FLT1_13_c_29068953.26-all	1026	511	861	FLT1
FLT1_13_c_29068960.26-all	582	284	536	FLT1
FLT1_13_w_29068955.23-all	913	452	782	FLT1
FLT3LG_19_c_49978991.28-all	687	341	627	FLT3LG
FLT3LG_19_w_49978958.28-all	724	327	673	FLT3LG
FLT3LG_19_w_49978993.27-all	1400	706	1068	FLT3LG
FLT3LG_19_w_49978994.26-all	681	369	546	FLT3LG
FLT3_13_c_28636195.22-all	524	226	715	FLT3
FLT3_13_c_28644701.28-all	242	101	143	FLT3
FLT3_13_c_28674643.24-all	544	271	576	FLT3
FLT3_13_w_28644648.22-all	895	530	741	FLT3
FLT4_5_c_180076521.26-all	254	148	275	FLT4
FLT4_5_c_180076531.26-all	588	299	410	FLT4
FLT4_5_w_180076499.24-all	515	189	349	FLT4
FLT4_5_w_180076509.26-all	910	419	719	FLT4
FLVCR1_1_c_213031819.24-all	570	355	390	FLVCR1
FLVCR1_1_c_213031820.25-all	1501	874	1090	FLVCR1
FLVCR1_1_c_213031821.23-all	294	140	408	FLVCR1
FLVCR1_1_w_213031803.23-all	423	136	471	FLVCR1
FLVCR2_14_c_76088460.24-all	940	385	794	FLVCR2
FLVCR2_14_w_76088451.28-all	621	305	642	FLVCR2
FLVCR2_14_w_76088463.25-all	1241	556	1361	FLVCR2
FLVCR2_14_w_76088464.24-all	469	192	717	FLVCR2
FLYWCH1_16_w_2979755.28-all	956	413	557	FLYWCH1
FLYWCH1_16_w_2979783.27-all	397	191	449	FLYWCH1
FLYWCH1_16_w_2979791.28-all	1019	455	1005	FLYWCH1
FLYWCH1_16_w_2979792.27-all	434	195	445	FLYWCH1
FLYWCH2_16_w_2946519.27-all	807	343	504	FLYWCH2
FLYWCH2_16_w_2946547.27-all	421	199	385	FLYWCH2
FLYWCH2_16_w_2946555.28-all	984	460	1032	FLYWCH2
FLYWCH2_16_w_2946556.27-all	599	269	530	FLYWCH2
FMN1_15_c_33360023.27-all	769	293	475	FMN1
FMN1_15_c_33360030.25-all	1373	544	802	FMN1
FMN1_15_w_33360056.24-all	566	270	599	FMN1
FMN1_15_w_33360060.23-all	1014	522	894	FMN1
FMN2_1_c_240255438.26-all	321	135	337	FMN2
FMN2_1_c_240255446.27-all	686	305	640	FMN2
FMN2_1_c_240255464.27-all	685	276	743	FMN2
FMN2_1_w_240255417.27-all	749	357	550	FMN2
FMNL1_17_c_43299528.27-all	418	249	436	FMNL1
FMNL1_17_w_43299513.28-all	391	185	404	FMNL1
FMNL1_17_w_43299531.28-all	820	348	329	FMNL1
FMNL1_17_w_43299534.28-all	404	179	97	FMNL1
FMNL2_2_c_153192161.24-all	878	453	921	FMNL2
FMNL2_2_c_153192162.26-all	1521	815	1435	FMNL2
FMNL2_2_w_153192151.25-all	1045	565	763	FMNL2
FMNL2_2_w_153192174.26-all	452	199	540	FMNL2
FMNL3_12_c_50100943.28-all	135	63	242	FMNL3
FMNL3_12_c_50100954.24-all	15	14	34	FMNL3
FMNL3_12_w_50100935.24-all	157	67	494	FMNL3
FMNL3_12_w_50100936.24-all	350	141	435	FMNL3
FMO1_1_c_171227250.23-all	1401	703	1062	FMO1
FMO1_1_c_171227251.24-all	1842	882	1600	FMO1
FMO1_1_w_171227230.25-all	876	317	558	FMO1
FMO1_1_w_171227242.27-all	473	234	512	FMO1
FMO2_1_c_171154877.24-all	342	136	237	FMO2
FMO2_1_c_171154884.25-all	644	403	633	FMO2
FMO2_1_c_171154885.26-all	1285	739	1201	FMO2
FMO2_1_c_171154918.28-all	518	286	435	FMO2
FMO3_1_c_171061830.28-all	558	260	431	FMO3
FMO3_1_c_171061839.27-all	743	339	484	FMO3
FMO3_1_c_171061855.24-all	749	323	733	FMO3
FMO3_1_w_171061848.27-all	520	284	472	FMO3
FMO4_1_c_171289030.28-all	893	447	760	FMO4
FMO4_1_c_171289076.25-all	886	463	722	FMO4
FMO4_1_w_171288968.25-all	741	395	525	FMO4
FMO4_1_w_171289013.26-all	1249	529	785	FMO4
FMO5_1_w_146696577.26-all	330	150	334	FMO5
FMO5_1_w_146696586.27-all	555	305	536	FMO5
FMO5_1_w_146696591.28-all	1065	606	889	FMO5
FMO5_1_w_146696592.27-all	573	356	482	FMO5
FMOD_1_c_203317380.25-all	395	215	403	FMOD
FMOD_1_c_203317383.28-all	888	493	961	FMOD
FMOD_1_c_203317384.28-all	1415	765	1436	FMOD
FMOD_1_c_203317387.26-all	670	380	617	FMOD
FMR1NB_X_c_147062949.26-all	881	468	881	FMR1NB
FMR1NB_X_c_147062950.27-all	1283	687	1315	FMR1NB
FMR1NB_X_c_147062951.28-all	1667	871	1713	FMR1NB
FMR1NB_X_c_147062960.25-all	775	351	566	FMR1NB
FMR1_X_c_146993724.26-all	564	309	473	FMR1
FMR1_X_c_146993725.27-all	1234	620	1006	FMR1
FMR1_X_c_146993734.26-all	673	347	764	FMR1
FMR1_X_w_147007079.26-all	769	407	647	FMR1
FN1_2_c_216300483.28-all	788	461	641	FN1
FN1_2_c_216300487.28-all	1450	794	1190	FN1
FN1_2_c_216300512.26-all	506	223	367	FN1
FN1_2_w_216300488.28-all	266	140	340	FN1
FN3KRP_17_c_80674658.26-all	662	264	678	FN3KRP
FN3KRP_17_c_80674659.24-all	698	340	760	FN3KRP
FN3KRP_17_c_80674675.28-all	805	313	497	FN3KRP
FN3KRP_17_w_80674642.25-all	649	469	557	FN3KRP
FN3K_17_w_80693531.24-all	428	181	487	FN3K
FN3K_17_w_80693543.26-all	197	117	352	FN3K
FN3K_17_w_80693549.22-all	298	136	376	FN3K
FN3K_17_w_80693550.25-all	264	160	369	FN3K
FNBP1L_1_c_93965059.23-all	910	433	657	FNBP1L
FNBP1L_1_c_93965060.24-all	1425	753	1191	FNBP1L
FNBP1L_1_c_93965061.25-all	2280	1183	1844	FNBP1L
FNBP1L_1_c_93965104.26-all	835	384	528	FNBP1L
FNBP1_9_c_132740864.26-all	953	462	651	FNBP1
FNBP1_9_w_132757156.28-all	476	220	437	FNBP1
FNBP1_9_w_132757200.28-all	1407	704	1080	FNBP1
FNBP1_9_w_132757201.27-all	705	332	568	FNBP1
FNBP4_11_c_47788814.26-all	409	259	435	FNBP4
FNBP4_11_c_47788815.27-all	989	499	931	FNBP4
FNBP4_11_c_47788825.28-all	263	129	290	FNBP4
FNBP4_11_c_47788826.25-all	679	346	680	FNBP4
FNDC1_6_w_159590632.28-all	1993	947	1575	FNDC1
FNDC1_6_w_159590633.27-all	1650	805	1212	FNDC1
FNDC1_6_w_159590634.28-all	1102	535	799	FNDC1
FNDC1_6_w_159590635.27-all	410	212	372	FNDC1
FNDC3A_13_w_49688792.26-all	939	417	707	FNDC3A
FNDC3A_13_w_49688804.28-all	805	455	577	FNDC3A
FNDC3A_13_w_49688814.26-all	1759	822	1344	FNDC3A
FNDC3A_13_w_49688815.25-all	1051	450	890	FNDC3A
FNDC3B_3_w_171830291.28-all	656	344	655	FNDC3B
FNDC3B_3_w_171830295.23-all	606	300	723	FNDC3B
FNDC3B_3_w_171830301.28-all	979	402	873	FNDC3B
FNDC3B_3_w_171830302.27-all	424	170	341	FNDC3B
FNDC4_2_c_27717521.24-all	543	231	589	FNDC4
FNDC4_2_c_27717523.26-all	975	475	1061	FNDC4
FNDC4_2_c_27717531.26-all	390	186	232	FNDC4
FNDC4_2_c_27717542.24-all	499	264	566	FNDC4
FNDC7_1_c_109255592.28-all	811	365	602	FNDC7
FNDC7_1_w_109255582.24-all	440	273	512	FNDC7
FNDC7_1_w_109260400.26-all	758	349	568	FNDC7
FNDC7_1_w_109260409.28-all	603	320	517	FNDC7
FNDC8_17_c_33448739.25-all	836	385	675	FNDC8
FNDC8_17_c_33448740.27-all	1453	671	1196	FNDC8
FNDC8_17_c_33448746.26-all	366	179	394	FNDC8
FNDC8_17_c_33448747.25-all	1130	584	813	FNDC8
FNDC9_5_c_156770497.24-all	374	161	494	FNDC9
FNDC9_5_c_156770506.28-all	864	427	723	FNDC9
FNDC9_5_w_156770483.28-all	838	443	631	FNDC9
FNDC9_5_w_156770509.26-all	713	331	459	FNDC9
FNIP1_5_c_131132596.24-all	917	436	927	FNIP1
FNIP1_5_c_131132607.27-all	655	339	713	FNIP1
FNIP1_5_c_131132608.25-all	725	400	651	FNIP1
FNIP1_5_c_131132609.26-all	1074	648	1017	FNIP1
FNIP2_4_c_159690402.25-all	730	308	740	FNIP2
FNIP2_4_c_159690403.26-all	967	435	1048	FNIP2
FNIP2_4_w_159690369.25-all	628	351	679	FNIP2
FNIP2_4_w_159690381.28-all	739	325	614	FNIP2
FNTA_8_c_42911527.22-all	410	225	769	FNTA
FNTA_8_c_42911538.27-all	379	170	322	FNTA
FNTA_8_w_42911534.28-all	438	198	170	FNTA
FNTA_8_w_42911535.27-all	200	87	104	FNTA
FNTB_14_w_65453680.25-all	511	249	779	FNTB
FNTB_14_w_65453693.28-all	266	124	657	FNTB
FNTB_14_w_65453703.27-all	104	38	396	FNTB
FNTB_14_w_65453707.28-all	384	237	540	FNTB
FOCAD_9_c_20717825.27-all	1004	445	581	FOCAD
FOCAD_9_c_20720429.28-all	965	509	866	FOCAD
FOCAD_9_c_20720451.26-all	782	370	837	FOCAD
FOCAD_9_w_20720439.26-all	818	448	550	FOCAD
FOLH1_11_c_49196502.23.pass11-all	1070	491	796	FOLH1
FOLH1_11_c_49197453.26-all	772	404	460	FOLH1
FOLH1_11_w_49194933.27.pass20-all	225	87	158	FOLH1
FOLH1_11_w_49197440.25.pass11-all	792	457	813	FOLH1
FOLR1_11_c_71903262.23-all	461	218	821	FOLR1
FOLR1_11_c_71903265.26-all	959	462	1232	FOLR1
FOLR1_11_c_71903280.25-all	456	232	643	FOLR1
FOLR1_11_c_71903291.28-all	347	173	493	FOLR1
FOLR2_11_c_71929694.27-all	808	411	573	FOLR2
FOLR2_11_c_71929699.27-all	769	363	448	FOLR2
FOLR2_11_w_71929674.28-all	793	385	576	FOLR2
FOLR2_11_w_71929690.28-all	1257	647	875	FOLR2
FOPNL_16_c_15977985.23-all	778	411	718	FOPNL
FOPNL_16_c_15977986.23-all	880	445	654	FOPNL
FOPNL_16_c_15978049.27-all	382	220	452	FOPNL
FOPNL_16_w_15978009.28-all	620	328	574	FOPNL
FOSB_19_w_45971858.26-all	1296	592	1219	FOSB
FOSB_19_w_45971859.24-all	926	426	914	FOSB
FOSB_19_w_45971860.22-all	582	272	524	FOSB
FOSB_19_w_45971875.28-all	272	149	199	FOSB
FOSL1_11_c_65667782.27-all	463	188	436	FOSL1
FOSL1_11_c_65667783.28-all	865	413	1012	FOSL1
