Guide	Counts
ABHD13_13_c_108881620.25-all	789
ABHD13_13_c_108881628.23-all	807
ABHD13_13_w_108881615.26-all	471
ABHD14A_3_c_52009177.25-all	603
ABHD14A_3_c_52009187.26-all	315
ABHD14A_3_w_52009180.25-all	438
ABHD14A_3_w_52009183.27-all	310
ABHD14B_3_c_52005650.28-all	633
ABHD14B_3_w_52005646.26-all	454
ABHD14B_3_w_52005657.27-all	678
ABHD14B_3_w_52005658.22-all	893
ABHD15_17_c_27893964.24-all	785
ABHD15_17_c_27893967.27-all	1642
ABHD15_17_c_27893977.27-all	165
ABHD15_17_c_27893980.27-all	492
ABHD16A_6_c_31668778.28-all	677
ABHD16A_6_c_31668789.28-all	488
ABHD16A_6_w_31668758.25-all	1059
ABHD16A_6_w_31668759.26-all	796
ABHD16B_20_c_62492917.23-all	1271
ABHD16B_20_c_62492923.25-all	872
ABHD16B_20_w_62492943.28-all	653
ABHD16B_20_w_62492948.23-all	505
ABHD17A_19_c_1881457.27.pass1-all	370
ABHD17A_19_c_1881458.22.pass1-all	178
ABHD17A_19_c_1881464.28.pass1-all	340
ABHD17A_19_w_1881433.22.pass1-all	715
ABHD17B_9_c_74489864.26-all	563
ABHD17B_9_c_74489941.26-all	720
ABHD17B_9_w_74489769.25-all	730
ABHD17B_9_w_74489858.28-all	1013
ABHD17C_15_c_80987798.27-all	379
ABHD17C_15_w_80987773.27-all	1095
ABHD17C_15_w_80987774.26-all	581
ABHD17C_15_w_80987779.26-all	515
ABHD1_2_w_27346826.26-all	234
ABHD1_2_w_27346830.27-all	372
ABHD1_2_w_27346836.25-all	483
ABHD1_2_w_27346837.26-all	361
ABHD2_15_w_89659565.25-all	529
ABHD2_15_w_89659587.26-all	1450
ABHD2_15_w_89659588.25-all	953
ABHD2_15_w_89659592.25-all	376
ABHD3_18_c_19284591.27-all	510
ABHD3_18_c_19284605.28-all	385
ABHD3_18_c_19284612.24-all	482
ABHD3_18_c_19284617.28-all	726
ABHD4_14_c_23070595.25-all	731
ABHD4_14_c_23070607.26-all	555
ABHD4_14_w_23070599.26-all	1120
ABHD4_14_w_23070600.27-all	693
ABHD5_3_c_43732524.26-all	331
ABHD5_3_w_43740791.27-all	2498
ABHD5_3_w_43740792.28-all	1639
ABHD5_3_w_43740793.27-all	781
ABHD6_3_c_58242349.28-all	979
ABHD6_3_c_58242350.26-all	2046
ABHD6_3_c_58242353.26-all	1558
ABHD6_3_c_58242361.22-all	1057
ABHD8_19_c_17412389.25-all	457
ABHD8_19_c_17412408.24-all	517
ABHD8_19_w_17412381.26-all	1884
ABHD8_19_w_17412382.25-all	1046
ABI1_10_c_27149755.24-all	1132
ABI1_10_c_27149756.25-all	1945
ABI1_10_w_27149748.27-all	640
ABI1_10_w_27149761.25-all	756
ABI2_2_c_204193276.26-all	728
ABI2_2_c_204193278.28-all	1141
ABI2_2_w_204193272.25-all	1
ABI2_2_w_204193273.27-all	3
ABI3BP_3_c_100712178.25-all	502
ABI3BP_3_w_100712193.25-all	867
ABI3BP_3_w_100712211.28-all	2118
ABI3BP_3_w_100712212.28-all	1228
ABI3_17_c_47288129.27-all	545
ABI3_17_w_47288121.28-all	1199
ABI3_17_w_47288122.27-all	797
ABI3_17_w_47288123.26-all	456
ABL1_9_c_133729491.25-all	199
ABL1_9_w_133729453.26-all	186
ABL1_9_w_133729454.25-all	61
ABL1_9_w_133729464.25-all	67
ABL2_1_c_179100579.23-all	1268
ABL2_1_c_179100600.28-all	907
ABL2_1_c_179100601.24-all	1381
ABL2_1_w_179100562.28-all	582
ABLIM1_10_c_116247757.26-all	644
ABLIM1_10_c_116247768.24-all	750
ABLIM1_10_c_116247771.27-all	1389
ABLIM1_10_w_116251569.28-all	613
ABLIM2_4_c_8108337.26-all	594
ABLIM2_4_c_8108338.27-all	1053
ABLIM2_4_c_8108342.28-all	276
ABLIM2_4_c_8108343.27-all	790
ABLIM3_5_c_148563080.23-all	921
ABLIM3_5_w_148563016.28-all	738
ABLIM3_5_w_148563040.25-all	428
ABLIM3_5_w_148563063.28-all	581
ABRACL_6_c_139355330.28-all	639
ABRACL_6_c_139355333.28-all	1437
ABRACL_6_c_139355349.23-all	722
ABRACL_6_c_139363885.26-all	529
ABRA_8_c_107782411.27-all	376
ABRA_8_w_107782390.25-all	829
ABRA_8_w_107782391.25-all	819
ABRA_8_w_107782392.24-all	470
ABR_17_c_916397.24-all	831
ABR_17_c_916398.25-all	1424
ABR_17_w_916345.27-all	790
ABR_17_w_916364.25-all	630
ABT1_6_c_26597258.25-all	191
ABT1_6_c_26597262.26-all	302
ABT1_6_c_26597263.27-all	546
ABT1_6_c_26597315.26-all	446
ABTB1_3_c_127395226.27-all	852
ABTB1_3_c_127395264.23-all	1255
ABTB1_3_w_127395230.23-all	1163
ABTB1_3_w_127395383.26-all	480
ABTB2_11_c_34379083.23-all	371
ABTB2_11_c_34379125.28-all	744
ABTB2_11_w_34379090.24-all	505
ABTB2_11_w_34379093.26-all	513
ACAA1_3_c_38178496.25-all	212
ACAA1_3_c_38178499.24-all	314
ACAA1_3_w_38178489.26-all	1500
ACAA1_3_w_38178490.25-all	868
ACAA2_18_c_47329192.24-all	337
ACAA2_18_c_47329193.25-all	794
ACAA2_18_w_47329174.27-all	495
ACAA2_18_w_47329186.26-all	799
ACACA_17_w_35641760.23-all	498
ACACA_17_w_35641791.25-all	742
ACACA_17_w_35641835.27-all	1219
ACACA_17_w_35641836.26-all	637
ACACB_12_c_109577266.28-all	698
ACACB_12_c_109577278.25-all	483
ACACB_12_c_109577279.26-all	1106
ACACB_12_w_109577262.28-all	626
ACAD10_12_w_112130538.28-all	2615
ACAD10_12_w_112130539.27-all	1948
ACAD10_12_w_112130540.26-all	1311
ACAD10_12_w_112130541.28-all	793
ACAD11_3_c_132378549.28-all	603
ACAD11_3_c_132378560.26-all	556
ACAD11_3_c_132378569.24-all	621
ACAD11_3_w_132378561.22-all	751
ACAD8_11_c_134123522.27-all	109
ACAD8_11_c_134123523.23-all	129
ACAD8_11_c_134123524.26-all	87
ACAD8_11_w_134123511.28-all	552
ACAD9_3_c_128598567.24-all	170
ACAD9_3_c_128598573.28-all	355
ACAD9_3_w_128598554.23-all	261
ACAD9_3_w_128598580.28-all	195
ACADL_2_c_211089961.28-all	526
ACADL_2_c_211089969.25-all	779
ACADL_2_c_211089975.26-all	457
ACADL_2_c_211089982.27-all	391
ACADM_1_c_76190501.27-all	434
ACADM_1_c_76194155.23-all	226
ACADM_1_w_76198334.25-all	608
ACADM_1_w_76198376.25-all	647
ACADSB_10_c_124768576.26-all	968
ACADSB_10_c_124768583.27-all	627
ACADSB_10_w_124768553.25-all	1020
ACADSB_10_w_124793916.26-all	738
ACADS_12_c_121163718.28-all	540
ACADS_12_c_121163719.26-all	1046
ACADS_12_w_121163695.28-all	271
ACADS_12_w_121164836.26-all	451
